# sentence_label=Do you want help?
# timestamp=1764407316.8636274
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2773 2655 2691 2800 2667 | ACC: 6124 21760 3808 | GYRO: 17213 -32768 -296 | GDP=37015.090
FLEX: 2721 2663 2672 2818 2693 | ACC: 232 12504 6472 | GYRO: 6138 18517 -10533 | GDP=22169.764
FLEX: 2701 2657 2657 2767 2671 | ACC: -1084 16632 8904 | GYRO: -114 14490 -3281 | GDP=14857.256
FLEX: 2682 2690 2651 2817 2688 | ACC: -4272 5704 17112 | GYRO: 7662 32767 -4276 | GDP=33921.480
FLEX: 2662 2736 2649 2784 2659 | ACC: -7460 16468 11044 | GYRO: 20079 23538 -6448 | GDP=31603.488
FLEX: 2708 2730 2559 2787 2675 | ACC: -10212 15068 6020 | GYRO: 20647 26991 -7378 | GDP=34774.238
FLEX: 2640 2638 2519 2724 2582 | ACC: -8148 14076 -3532 | GYRO: 24322 27431 -7802 | GDP=37481.871
FLEX: 2630 2670 2425 2673 2546 | ACC: -12996 14544 -8968 | GYRO: 14726 24617 -2353 | GDP=28781.738
FLEX: 2623 2645 2384 2658 2497 | ACC: -11404 8228 -12860 | GYRO: 10958 7160 2289 | GDP=13288.449
FLEX: 2595 2686 2367 2640 2512 | ACC: -12624 3416 -16792 | GYRO: 972 9704 6160 | GDP=11535.077
FLEX: 2626 2704 2418 2615 2433 | ACC: -8672 3744 -12776 | GYRO: -4913 -6507 11031 | GDP=13717.200
FLEX: 2630 2702 2449 2658 2505 | ACC: -4728 2200 -10296 | GYRO: -11323 -5910 8795 | GDP=15507.755
FLEX: 2624 2704 2463 2684 2547 | ACC: -3492 3104 -6512 | GYRO: -11302 -4456 7369 | GDP=14208.916
FLEX: 2623 2704 2517 2691 2559 | ACC: 2288 8968 -4092 | GYRO: -8805 1820 1766 | GDP=9162.925
FLEX: 2631 2704 2494 2691 2640 | ACC: -1368 23864 260 | GYRO: -420 -2671 -5782 | GDP=6382.959
FLEX: 2614 2715 2514 2685 2708 | ACC: -4600 26104 -108 | GYRO: 1670 -3140 -9739 | GDP=10368.058
FLEX: 2663 2724 2521 2701 2643 | ACC: -18076 22404 -4924 | GYRO: 7748 2101 -9717 | GDP=12604.197
FLEX: 2596 2718 2551 2739 2613 | ACC: -27832 19888 -12436 | GYRO: -3107 -12073 6966 | GDP=14280.614
FLEX: 2599 2703 2592 2724 2615 | ACC: -20696 13400 -6024 | GYRO: -10317 -30819 19982 | GDP=38151.430
FLEX: 2588 2654 2595 2764 2650 | ACC: -11268 10124 -4040 | GYRO: -4501 -32768 32767 | GDP=46558.320
FLEX: 2623 2672 2623 2737 2637 | ACC: -1392 7612 -1464 | GYRO: 3904 -31980 32767 | GDP=45952.563
FLEX: 2640 2666 2645 2758 2667 | ACC: 11396 8388 -6280 | GYRO: 6444 -30910 31104 | GDP=44321.688
FLEX: 2629 2672 2496 2787 2681 | ACC: 17732 8196 -6916 | GYRO: 9199 -13191 16585 | GDP=23101.652
FLEX: 2559 2608 2627 2704 2583 | ACC: 17912 10032 -9164 | GYRO: 7386 -7131 3130 | GDP=10733.176
FLEX: 2611 2596 2667 2775 2702 | ACC: 15348 9460 -8144 | GYRO: 2023 -359 -9105 | GDP=9333.939
FLEX: 2630 2583 2673 2723 2695 | ACC: 11976 10204 -6224 | GYRO: -3427 -2761 -22637 | GDP=23060.816
FLEX: 2678 2526 2687 2762 2763 | ACC: 7304 11772 -6152 | GYRO: -13478 2491 -32768 | GDP=35519.055
