# sentence_label=Are you hearing?
# timestamp=1764406897.5725365
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2651 2677 2559 2751 2638 | ACC: -3068 12916 13572 | GYRO: 5319 428 2301 | GDP=5811.157
FLEX: 2662 2704 2604 2714 2660 | ACC: -5244 14336 14688 | GYRO: 7061 -2811 2686 | GDP=8060.647
FLEX: 2640 2694 2624 2775 2627 | ACC: -1592 13368 13396 | GYRO: 13663 -1217 6647 | GDP=15242.745
FLEX: 2636 2678 2651 2896 2667 | ACC: -2648 14152 11340 | GYRO: 13342 900 5007 | GDP=14278.971
FLEX: 2634 2691 2625 2775 2711 | ACC: -1784 14116 8136 | GYRO: 14625 976 5952 | GDP=15819.908
FLEX: 2651 2707 2657 2862 2704 | ACC: -708 13700 5004 | GYRO: 11094 508 6746 | GDP=12993.976
FLEX: 2672 2672 2654 2783 2725 | ACC: -808 12900 5332 | GYRO: 8368 1287 6169 | GDP=10475.512
FLEX: 2681 2681 2641 2800 2721 | ACC: -2172 13492 5472 | GYRO: 5115 3308 7070 | GDP=9332.256
FLEX: 2698 2689 2707 2816 2683 | ACC: -2760 12944 8040 | GYRO: 6531 3276 10486 | GDP=12780.545
FLEX: 2688 2710 2678 2811 2742 | ACC: 388 15056 4712 | GYRO: 5701 3325 14489 | GDP=15921.311
FLEX: 2624 2682 2640 2725 2718 | ACC: 5980 14564 4356 | GYRO: 8487 937 13528 | GDP=15997.310
FLEX: 2609 2736 2628 2677 2736 | ACC: 9084 13576 1864 | GYRO: 16779 4235 9917 | GDP=19945.350
FLEX: 2602 2672 2662 2749 2681 | ACC: 14444 11112 -3316 | GYRO: 16032 4429 928 | GDP=16658.398
FLEX: 2656 2615 2634 2754 2641 | ACC: 14408 13768 -10652 | GYRO: 4897 -8057 -18736 | GDP=20974.594
FLEX: 2635 2587 2656 2781 2635 | ACC: 9576 13368 -8876 | GYRO: -7924 200 -21824 | GDP=23218.887
FLEX: 2647 2515 2652 2736 2606 | ACC: 6284 11044 -4072 | GYRO: -21694 4806 -29384 | GDP=36839.473
FLEX: 2662 2507 2645 2751 2653 | ACC: -2212 9880 4020 | GYRO: -19710 -1389 -32768 | GDP=38264.281
FLEX: 2703 2501 2680 2766 2602 | ACC: -904 11772 3880 | GYRO: -32768 -3872 -32768 | GDP=46502.430
FLEX: 2672 2507 2690 2820 2639 | ACC: -23328 -4484 17636 | GYRO: -24295 20867 -32768 | GDP=45819.434
FLEX: 2670 2501 2668 2754 2634 | ACC: -22744 -3296 14016 | GYRO: 5140 -16090 -6845 | GDP=18225.305
FLEX: 2705 2463 2659 2752 2651 | ACC: -18324 4184 8928 | GYRO: 1185 2293 2271 | GDP=3437.952
FLEX: 2695 2490 2654 2765 2631 | ACC: -12960 6840 8732 | GYRO: 4003 -3380 3535 | GDP=6320.177
FLEX: 2720 2497 2690 2743 2641 | ACC: -9820 9600 6784 | GYRO: 2727 -1665 3865 | GDP=5014.676
FLEX: 2715 2512 2694 2789 2624 | ACC: -10712 6900 9516 | GYRO: -239 2206 2407 | GDP=3273.714
FLEX: 2719 2505 2662 2760 2640 | ACC: -11424 8100 8820 | GYRO: 840 -2844 2584 | GDP=3933.318
FLEX: 2699 2477 2624 2745 2625 | ACC: -11748 7600 9172 | GYRO: -1695 1042 4497 | GDP=4917.499
FLEX: 2736 2481 2640 2782 2619 | ACC: -13432 8500 9032 | GYRO: -6300 -4900 6303 | GDP=10169.946
FLEX: 2681 2479 2667 2749 2634 | ACC: -10104 7372 5080 | GYRO: -21998 -6625 15490 | GDP=27708.170
FLEX: 2614 2479 2623 2777 2623 | ACC: -16536 3564 9988 | GYRO: -31388 2316 27476 | GDP=41779.191
FLEX: 2659 2512 2559 2743 2608 | ACC: -24624 1776 17388 | GYRO: -25867 2192 32767 | GDP=41804.102
