# sentence_label=Rest
# timestamp=1764406626.6306167
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2646 2545 2285 2559 2542 | ACC: 3692 3612 15792 | GYRO: 687 74 -33 | GDP=691.762
FLEX: 2616 2535 2302 2609 2535 | ACC: 3608 3640 15904 | GYRO: 622 -126 45 | GDP=636.227
FLEX: 2613 2544 2299 2559 2530 | ACC: 3500 3704 15924 | GYRO: 702 41 -13 | GDP=703.316
FLEX: 2623 2559 2294 2559 2491 | ACC: 3692 3608 15736 | GYRO: 654 34 -9 | GDP=654.945
FLEX: 2620 2541 2299 2601 2517 | ACC: 3616 3640 15776 | GYRO: 630 -24 48 | GDP=632.282
FLEX: 2650 2501 2271 2559 2529 | ACC: 3524 3652 15880 | GYRO: 601 3 -20 | GDP=601.340
FLEX: 2624 2485 2318 2617 2499 | ACC: 3656 3628 15820 | GYRO: 645 -44 -7 | GDP=646.537
FLEX: 2643 2534 2323 2640 2496 | ACC: 3456 3640 15944 | GYRO: 648 -16 -12 | GDP=648.309
FLEX: 2624 2523 2295 2497 2515 | ACC: 3620 3568 15756 | GYRO: 664 80 11 | GDP=668.892
FLEX: 2655 2531 2301 2528 2513 | ACC: 3520 3672 15856 | GYRO: 670 34 -37 | GDP=671.882
FLEX: 2556 2496 2272 2514 2466 | ACC: 3704 3596 15788 | GYRO: 620 -128 30 | GDP=633.785
FLEX: 2559 2558 2335 2611 2513 | ACC: 3548 3640 15760 | GYRO: 608 -12 -15 | GDP=608.303
FLEX: 2706 2542 2263 2645 2512 | ACC: 3632 3696 15732 | GYRO: 612 34 2 | GDP=612.947
FLEX: 2559 2559 2306 2540 2594 | ACC: 3540 3648 15800 | GYRO: 656 48 -9 | GDP=657.815
FLEX: 2613 2546 2293 2583 2464 | ACC: 3664 3672 15848 | GYRO: 654 24 -49 | GDP=656.272
FLEX: 2631 2602 2288 2582 2538 | ACC: 3632 3636 15824 | GYRO: 638 -82 2 | GDP=643.251
FLEX: 2659 2486 2267 2528 2550 | ACC: 3552 3716 15852 | GYRO: 648 120 -5 | GDP=659.036
FLEX: 2559 2480 2276 2613 2526 | ACC: 3716 3564 15852 | GYRO: 601 -170 0 | GDP=624.581
FLEX: 2622 2403 2320 2543 2512 | ACC: 3632 3620 15796 | GYRO: 622 164 -5 | GDP=643.277
FLEX: 2588 2531 2303 2559 2634 | ACC: 3544 3576 15676 | GYRO: 668 -83 -10 | GDP=673.211
FLEX: 2621 2559 2327 2559 2529 | ACC: 3612 3648 15796 | GYRO: 618 -30 8 | GDP=618.779
FLEX: 2614 2503 2291 2559 2521 | ACC: 3588 3656 15796 | GYRO: 633 86 13 | GDP=638.948
FLEX: 2622 2535 2297 2595 2545 | ACC: 3768 3520 15676 | GYRO: 596 28 -13 | GDP=596.799
FLEX: 2715 2497 2291 2626 2523 | ACC: 3624 3668 15820 | GYRO: 625 -69 -4 | GDP=628.810
FLEX: 2631 2527 2315 2607 2507 | ACC: 3512 3628 15908 | GYRO: 622 24 -46 | GDP=624.160
FLEX: 2634 2554 2285 2533 2544 | ACC: 3672 3612 15844 | GYRO: 649 42 -8 | GDP=650.407
FLEX: 2624 2534 2285 2586 2537 | ACC: 3608 3660 15828 | GYRO: 661 15 -34 | GDP=662.044
FLEX: 2618 2554 2272 2589 2530 | ACC: 3700 3568 15824 | GYRO: 632 -42 27 | GDP=633.969
FLEX: 2624 2512 2288 2559 2539 | ACC: 3496 3624 15800 | GYRO: 646 37 -14 | GDP=647.210
FLEX: 2641 2541 2263 2549 2498 | ACC: 3660 3616 15840 | GYRO: 635 -76 13 | GDP=639.664
FLEX: 2629 2555 2306 2594 2535 | ACC: 3548 3492 15848 | GYRO: 655 -10 16 | GDP=655.272
FLEX: 2631 2509 2310 2583 2532 | ACC: 3620 3560 15788 | GYRO: 601 43 -7 | GDP=602.577
FLEX: 2623 2559 2274 2583 2528 | ACC: 3600 3632 15852 | GYRO: 625 -40 35 | GDP=627.256
FLEX: 2591 2521 2285 2545 2533 | ACC: 3592 3672 15776 | GYRO: 659 44 13 | GDP=660.595
FLEX: 2614 2534 2304 2559 2514 | ACC: 3652 3524 15956 | GYRO: 610 -26 4 | GDP=610.567
FLEX: 2628 2529 2297 2559 2512 | ACC: 3536 3556 15732 | GYRO: 652 102 -11 | GDP=660.022
FLEX: 2611 2533 2283 2559 2532 | ACC: 3636 3664 15848 | GYRO: 641 -26 -2 | GDP=641.530
FLEX: 2629 2559 2304 2598 2503 | ACC: 3544 3636 15848 | GYRO: 597 -33 -7 | GDP=597.952
FLEX: 2606 2523 2306 2559 2517 | ACC: 3712 3628 15748 | GYRO: 621 -45 33 | GDP=623.502
FLEX: 2630 2525 2255 2557 2495 | ACC: 3484 3568 15792 | GYRO: 638 -33 5 | GDP=638.872
FLEX: 2617 2519 2289 2559 2533 | ACC: 3540 3560 15788 | GYRO: 645 27 -42 | GDP=646.930
FLEX: 2640 2517 2303 2586 2510 | ACC: 3588 3584 15812 | GYRO: 671 -21 -1 | GDP=671.329
FLEX: 2637 2546 2306 2559 2555 | ACC: 3500 3656 15864 | GYRO: 626 -40 -9 | GDP=627.341
FLEX: 2599 2544 2291 2544 2477 | ACC: 3660 3576 15892 | GYRO: 646 -47 3 | GDP=647.714
FLEX: 2599 2551 2309 2559 2547 | ACC: 3588 3568 15812 | GYRO: 625 37 10 | GDP=626.174
FLEX: 2623 2542 2265 2559 2491 | ACC: 3560 3664 15796 | GYRO: 639 -68 -40 | GDP=643.852
FLEX: 2615 2537 2271 2559 2529 | ACC: 3676 3520 15800 | GYRO: 608 65 -24 | GDP=611.935
FLEX: 2625 2559 2285 2551 2535 | ACC: 3516 3580 15780 | GYRO: 664 34 -51 | GDP=666.823
FLEX: 2630 2542 2301 2585 2544 | ACC: 3604 3600 16000 | GYRO: 648 -8 3 | GDP=648.056
FLEX: 2633 2545 2285 2558 2537 | ACC: 3508 3652 15736 | GYRO: 684 43 35 | GDP=686.243
FLEX: 2632 2544 2313 2590 2550 | ACC: 3616 3620 15788 | GYRO: 667 -67 7 | GDP=670.393
FLEX: 2639 2521 2299 2585 2523 | ACC: 3692 3620 15812 | GYRO: 646 10 -9 | GDP=646.140
FLEX: 2638 2585 2299 2597 2559 | ACC: 3488 3552 15852 | GYRO: 669 -58 -16 | GDP=671.700
FLEX: 2624 2518 2285 2555 2529 | ACC: 3612 3620 15704 | GYRO: 624 45 7 | GDP=625.660
FLEX: 2647 2537 2289 2603 2524 | ACC: 3480 3532 15884 | GYRO: 655 -10 -11 | GDP=655.169
FLEX: 2623 2524 2277 2559 2510 | ACC: 3540 3536 15828 | GYRO: 665 6 35 | GDP=665.947
