# sentence_label=Do you understand?
# timestamp=1764407447.7573407
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2662 2679 2597 2779 2591 | ACC: -10416 10680 20180 | GYRO: 18709 12805 8909 | GDP=24359.084
FLEX: 2658 2750 2623 2847 2631 | ACC: -6316 10796 15400 | GYRO: 23107 6880 14952 | GDP=28369.529
FLEX: 2625 2711 2630 2783 2640 | ACC: -2804 10732 9600 | GYRO: 27482 7487 18477 | GDP=33951.656
FLEX: 2631 2751 2662 2896 2646 | ACC: 1636 11496 3532 | GYRO: 23652 4032 17135 | GDP=29483.596
FLEX: 2629 2747 2681 2771 2695 | ACC: 1640 11452 784 | GYRO: 22146 9901 17362 | GDP=29831.430
FLEX: 2645 2715 2729 2806 2698 | ACC: 3388 12100 -860 | GYRO: 19072 1536 17842 | GDP=26161.756
FLEX: 2646 2625 2730 2803 2686 | ACC: 8300 11984 -4048 | GYRO: 15695 873 15308 | GDP=21941.514
FLEX: 2687 2701 2625 2849 2719 | ACC: 8696 12616 -5364 | GYRO: 10447 1600 9307 | GDP=14082.615
FLEX: 2703 2707 2774 2879 2692 | ACC: 9264 12480 -5800 | GYRO: 8814 532 7935 | GDP=11871.556
FLEX: 2733 2769 2714 2793 2735 | ACC: 9608 12368 -6488 | GYRO: 6288 1626 8074 | GDP=10362.061
FLEX: 2772 2766 2771 2775 2688 | ACC: 10360 12368 -6628 | GYRO: 5247 -508 6044 | GDP=8019.913
FLEX: 2769 2775 2718 2767 2742 | ACC: 13592 10976 -7632 | GYRO: 3546 968 -1825 | GDP=4103.872
FLEX: 2767 2736 2768 2815 2670 | ACC: 11944 10908 -7804 | GYRO: -545 -692 -9523 | GDP=9563.650
FLEX: 2739 2785 2763 2717 2679 | ACC: 13728 11596 -8844 | GYRO: -5230 -140 -15890 | GDP=16729.154
FLEX: 2724 2798 2717 2741 2649 | ACC: 9076 18380 -11980 | GYRO: -21841 -3433 -21731 | GDP=31000.824
FLEX: 2763 2623 2747 2741 2677 | ACC: 7924 7420 -1356 | GYRO: -22414 8794 -25995 | GDP=35432.496
FLEX: 2745 2501 2772 2749 2638 | ACC: 10172 7908 -1548 | GYRO: -32768 1592 -32768 | GDP=46368.285
FLEX: 2795 2544 2740 2740 2679 | ACC: -5016 -4888 8620 | GYRO: -19526 20473 -32768 | GDP=43291.457
FLEX: 2810 2511 2736 2763 2617 | ACC: -32768 -8120 15444 | GYRO: -29648 -16887 -32768 | GDP=47306.625
FLEX: 2805 2466 2731 2737 2640 | ACC: -32768 -6916 18716 | GYRO: 5671 5436 2145 | GDP=8143.179
FLEX: 2788 2519 2755 2739 2627 | ACC: -14604 3316 5516 | GYRO: 4895 -1533 -923 | GDP=5211.818
FLEX: 2814 2482 2743 2757 2624 | ACC: -16832 3572 8488 | GYRO: 709 3160 4749 | GDP=5748.155
FLEX: 2799 2490 2736 2769 2661 | ACC: -12700 5052 7360 | GYRO: 2783 155 3048 | GDP=4130.305
FLEX: 2800 2491 2767 2770 2647 | ACC: -12192 4504 7192 | GYRO: 2495 4863 3376 | GDP=6424.264
FLEX: 2794 2495 2730 2746 2637 | ACC: -11820 3848 6840 | GYRO: 5263 7291 7764 | GDP=11880.132
FLEX: 2753 2480 2731 2743 2619 | ACC: -8152 3464 4848 | GYRO: 10786 14241 11817 | GDP=21419.275
FLEX: 2735 2525 2725 2733 2624 | ACC: -4048 4328 -292 | GYRO: 7490 24839 5935 | GDP=26613.912
FLEX: 2713 2559 2738 2733 2559 | ACC: -6572 3644 -3808 | GYRO: 4462 32767 -12445 | GDP=35333.609
FLEX: 2731 2640 2747 2766 2599 | ACC: -10800 2460 -7840 | GYRO: 2763 32767 -24788 | GDP=41179.551
FLEX: 2734 2631 2733 2737 2590 | ACC: -15632 2916 -10700 | GYRO: 9713 32767 -25845 | GDP=42848.367
FLEX: 2729 2679 2706 2726 2589 | ACC: -17184 1072 -17144 | GYRO: 10887 30242 -17833 | GDP=36757.602
FLEX: 2709 2625 2729 2714 2594 | ACC: -17616 816 -21864 | GYRO: 9594 14422 -8267 | GDP=19193.285
FLEX: 2720 2654 2733 2755 2627 | ACC: -15112 108 -25668 | GYRO: 2498 7748 -1142 | GDP=8220.442
FLEX: 2735 2619 2707 2739 2590 | ACC: -15292 -548 -27528 | GYRO: -7776 8328 719 | GDP=11416.599
FLEX: 2752 2626 2750 2763 2638 | ACC: -12500 -784 -26868 | GYRO: -18718 4184 6513 | GDP=20255.580
FLEX: 2747 2633 2721 2736 2622 | ACC: -11144 1820 -25244 | GYRO: -27426 5115 10010 | GDP=29640.324
FLEX: 2748 2608 2746 2750 2640 | ACC: -8260 1996 -21484 | GYRO: -32768 2594 11944 | GDP=34973.273
FLEX: 2733 2544 2733 2701 2607 | ACC: -6964 2780 -12740 | GYRO: -32768 -3796 14262 | GDP=35938.227
FLEX: 2717 2559 2746 2757 2617 | ACC: -1796 900 -1180 | GYRO: -26933 -5906 12363 | GDP=30217.729
FLEX: 2703 2556 2726 2755 2608 | ACC: 2980 4876 3428 | GYRO: -14910 -7726 9244 | GDP=19169.004
FLEX: 2711 2531 2746 2737 2640 | ACC: 3040 6880 4996 | GYRO: -4393 -4005 1877 | GDP=6233.907
FLEX: 2704 2522 2723 2707 2606 | ACC: 1152 10540 -192 | GYRO: 3648 -2447 -2764 | GDP=5189.933
FLEX: 2719 2514 2721 2735 2641 | ACC: -3256 11360 -3060 | GYRO: 4773 -4398 -4760 | GDP=8048.698
FLEX: 2711 2498 2707 2745 2607 | ACC: -4432 11784 -6896 | GYRO: 6860 -481 -4002 | GDP=7956.567
FLEX: 2739 2514 2710 2736 2608 | ACC: -10248 9452 -4956 | GYRO: 5331 -9477 -2242 | GDP=11102.236
FLEX: 2700 2517 2689 2746 2602 | ACC: -4072 7484 -7020 | GYRO: 7256 -25254 -5693 | GDP=26885.393
FLEX: 2705 2585 2707 2735 2608 | ACC: -12024 8072 -5912 | GYRO: 9808 -32768 -6178 | GDP=34757.824
FLEX: 2671 2641 2704 2711 2599 | ACC: -12116 11180 -7176 | GYRO: 9262 -32768 -10898 | GDP=35753.223
FLEX: 2662 2703 2707 2730 2590 | ACC: -21676 19148 -7696 | GYRO: 7684 -20773 7644 | GDP=23430.580
FLEX: 2678 2659 2695 2722 2559 | ACC: -22820 14220 172 | GYRO: 2000 -23807 21012 | GDP=31816.307
FLEX: 2672 2665 2687 2754 2630 | ACC: -17748 20892 -1048 | GYRO: 8101 -18367 31541 | GDP=37387.266
FLEX: 2670 2640 2693 2729 2624 | ACC: -7772 12672 2012 | GYRO: 11064 -17319 32767 | GDP=38678.629
FLEX: 2682 2656 2753 2793 2657 | ACC: 3152 11784 -3032 | GYRO: 18682 -13191 32767 | GDP=39958.680
FLEX: 2688 2641 2739 2767 2625 | ACC: 11760 7576 -6820 | GYRO: 16339 -5730 28523 | GDP=33367.008
FLEX: 2736 2681 2762 2788 2720 | ACC: 15596 8036 -10008 | GYRO: 12897 -610 18901 | GDP=22890.010
FLEX: 2721 2656 2773 2804 2704 | ACC: 19200 6808 -13060 | GYRO: 6585 688 7052 | GDP=9672.966
FLEX: 2768 2681 2769 2851 2736 | ACC: 18540 6952 -12832 | GYRO: -1114 -1396 -8677 | GDP=8858.902
FLEX: 2770 2623 2754 2779 2715 | ACC: 16224 10024 -12788 | GYRO: -12010 3287 -22752 | GDP=25936.422
FLEX: 2773 2626 2704 2769 2708 | ACC: 10432 8704 -6380 | GYRO: -22456 382 -32096 | GDP=39173.602
FLEX: 2783 2531 2730 2802 2669 | ACC: 6416 11604 -3864 | GYRO: -29133 -2237 -32768 | GDP=43903.051
FLEX: 2762 2541 2726 2764 2666 | ACC: -536 3100 6144 | GYRO: -27898 1839 -32768 | GDP=43074.613
FLEX: 2800 2501 2702 2748 2647 | ACC: -18912 -5352 8960 | GYRO: -32768 15828 -32768 | GDP=48969.473
