# sentence_label=Do you want help?
# timestamp=1764407267.2512739
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2657 2701 2559 2741 2605 | ACC: -13724 10108 23864 | GYRO: 15739 12182 9877 | GDP=22218.740
FLEX: 2637 2704 2589 2737 2587 | ACC: -7488 11708 16436 | GYRO: 21880 4819 15136 | GDP=27038.041
FLEX: 2637 2727 2654 2837 2599 | ACC: -6072 12580 10696 | GYRO: 25690 10371 18680 | GDP=33413.711
FLEX: 2610 2735 2695 2774 2624 | ACC: -2684 10556 7364 | GYRO: 29150 1350 23655 | GDP=37564.664
FLEX: 2634 2735 2718 2791 2675 | ACC: 3216 12684 -752 | GYRO: 26711 -2422 24850 | GDP=36563.180
FLEX: 2626 2736 2761 2784 2683 | ACC: 8480 11668 -4524 | GYRO: 17634 1 16780 | GDP=24341.863
FLEX: 2631 2710 2767 2832 2705 | ACC: 8908 11396 -3728 | GYRO: 15673 63 11364 | GDP=19359.426
FLEX: 2667 2719 2744 2789 2694 | ACC: 9788 13320 -6264 | GYRO: 9141 89 7770 | GDP=11997.445
FLEX: 2673 2722 2768 2790 2687 | ACC: 10060 11040 -4552 | GYRO: 8054 2849 4627 | GDP=9715.599
FLEX: 2697 2739 2749 2789 2658 | ACC: 10904 12272 -6300 | GYRO: 6807 3133 426 | GDP=7505.492
FLEX: 2695 2753 2694 2793 2704 | ACC: 12220 10784 -6716 | GYRO: 3200 5994 -4053 | GDP=7911.690
FLEX: 2649 2746 2715 2755 2661 | ACC: 12856 9748 -6704 | GYRO: 4947 1422 -10986 | GDP=12132.068
FLEX: 2629 2691 2701 2832 2663 | ACC: 12540 13508 -10472 | GYRO: -10148 5702 -17304 | GDP=20854.811
FLEX: 2631 2610 2670 2745 2652 | ACC: 6740 8700 -2472 | GYRO: -12651 7232 -18690 | GDP=23699.488
FLEX: 2665 2559 2702 2771 2677 | ACC: 6796 12348 -3464 | GYRO: -10379 1252 -26491 | GDP=28479.189
FLEX: 2657 2533 2699 2766 2626 | ACC: 3856 12796 -2436 | GYRO: -25429 -2703 -32768 | GDP=41565.395
FLEX: 2679 2513 2699 2879 2640 | ACC: -636 952 7928 | GYRO: -25184 6073 -32768 | GDP=41771.488
FLEX: 2743 2491 2691 2751 2620 | ACC: -16188 -5316 13164 | GYRO: -28208 -10352 -32768 | GDP=44458.938
FLEX: 2744 2545 2685 2766 2652 | ACC: -32768 -9724 16264 | GYRO: -8414 9892 -19095 | GDP=23092.555
FLEX: 2751 2500 2703 2768 2621 | ACC: -21708 -4448 11060 | GYRO: 3687 -15323 1634 | GDP=15844.818
FLEX: 2758 2512 2661 2748 2638 | ACC: -13364 4104 6356 | GYRO: 2466 1301 3825 | GDP=4733.327
FLEX: 2752 2481 2688 2732 2608 | ACC: -13276 5120 8640 | GYRO: 1049 -11 1270 | GDP=1647.247
FLEX: 2762 2497 2786 2758 2645 | ACC: -11988 5224 7812 | GYRO: -20 -840 1745 | GDP=1936.756
FLEX: 2787 2497 2703 2731 2624 | ACC: -13572 3380 9308 | GYRO: 233 2099 1604 | GDP=2651.963
FLEX: 2858 2523 2691 2754 2672 | ACC: -12884 5156 7608 | GYRO: 1727 -2737 1965 | GDP=3786.149
FLEX: 2782 2481 2677 2708 2629 | ACC: -12176 4392 7180 | GYRO: -401 4324 2081 | GDP=4815.427
FLEX: 2775 2486 2704 2736 2626 | ACC: -12168 4928 8192 | GYRO: -328 -85 1373 | GDP=1414.192
FLEX: 2771 2485 2709 2724 2587 | ACC: -11908 5292 8068 | GYRO: 137 3183 1408 | GDP=3483.206
FLEX: 2794 2513 2694 2750 2640 | ACC: -10664 5696 7620 | GYRO: -562 1740 -926 | GDP=2049.615
FLEX: 2763 2483 2698 2733 2615 | ACC: -12372 4632 7212 | GYRO: -838 6639 -2845 | GDP=7271.354
FLEX: 2768 2507 2704 2726 2631 | ACC: -13976 3056 6876 | GYRO: -176 7393 -2519 | GDP=7812.348
FLEX: 2741 2480 2688 2701 2608 | ACC: -17596 4100 5664 | GYRO: 1201 5655 1199 | GDP=5904.153
FLEX: 2758 2528 2697 2693 2620 | ACC: -20972 5084 5976 | GYRO: -1243 12535 8825 | GDP=15380.244
FLEX: 2681 2495 2671 2707 2609 | ACC: -21728 6728 4908 | GYRO: 3521 15740 12390 | GDP=20338.562
FLEX: 2667 2535 2640 2721 2594 | ACC: -23708 11168 1760 | GYRO: -5271 12634 20727 | GDP=24839.684
FLEX: 2638 2648 2633 2727 2598 | ACC: -19272 10808 4040 | GYRO: -3995 11298 24399 | GDP=27183.010
FLEX: 2640 2741 2672 2752 2589 | ACC: -13436 11568 -2572 | GYRO: -8445 7224 25110 | GDP=27459.357
FLEX: 2653 2754 2639 2735 2655 | ACC: -8272 9320 -2552 | GYRO: -9654 15862 22038 | GDP=28817.984
FLEX: 2635 2754 2660 2783 2750 | ACC: -3340 10472 -3968 | GYRO: -15850 16723 18670 | GDP=29655.523
FLEX: 2644 2753 2674 2811 2735 | ACC: -2068 8916 1056 | GYRO: -19039 11546 11054 | GDP=24859.295
FLEX: 2661 2734 2669 2813 2734 | ACC: -664 8824 2328 | GYRO: -20517 11766 2810 | GDP=23817.686
FLEX: 2666 2730 2688 2825 2735 | ACC: -396 6992 5716 | GYRO: -17464 8315 -3628 | GDP=19679.760
FLEX: 2647 2795 2719 2843 2770 | ACC: -3824 6188 7404 | GYRO: -16570 5869 -9982 | GDP=20215.102
FLEX: 2672 2752 2711 2754 2734 | ACC: -4964 4564 9108 | GYRO: -12842 6495 -14496 | GDP=20426.355
FLEX: 2714 2780 2855 2864 2733 | ACC: -7112 3700 9332 | GYRO: -10440 4617 -17355 | GDP=20772.730
FLEX: 2723 2763 2688 2809 2741 | ACC: -1648 19940 20996 | GYRO: 10801 -9617 -2844 | GDP=14738.949
FLEX: 2755 2714 2694 2846 2660 | ACC: -11356 8756 5820 | GYRO: 7038 1279 -3610 | GDP=8012.577
FLEX: 2719 2736 2734 2819 2763 | ACC: -16256 8856 11416 | GYRO: 5737 -2243 1055 | GDP=6249.579
FLEX: 2670 2769 2627 2829 2679 | ACC: -15068 8156 14736 | GYRO: 15783 -1259 3567 | GDP=16229.962
FLEX: 2645 2745 2670 2807 2642 | ACC: -10920 7108 19884 | GYRO: 23061 -10420 10806 | GDP=27516.463
FLEX: 2646 2737 2559 2789 2637 | ACC: -1396 8212 10172 | GYRO: 32767 5962 769 | GDP=33313.859
FLEX: 2559 2700 2483 2713 2655 | ACC: -10252 9792 2044 | GYRO: 32767 20154 2316 | GDP=38538.602
FLEX: 2639 2668 2497 2679 2609 | ACC: -7920 11004 -10376 | GYRO: 30684 21655 1088 | GDP=37571.672
FLEX: 2599 2709 2418 2624 2547 | ACC: -5700 5296 -14932 | GYRO: 20988 10458 4598 | GDP=23895.764
FLEX: 2586 2745 2416 2689 2509 | ACC: -7144 3032 -21364 | GYRO: 11231 11474 1837 | GDP=16160.526
FLEX: 2624 2730 2534 2681 2484 | ACC: -10088 1712 -17640 | GYRO: -1876 2743 3439 | GDP=4782.274
FLEX: 2635 2721 2498 2703 2545 | ACC: -5768 -888 -13044 | GYRO: -12277 -7815 3718 | GDP=15020.735
FLEX: 2774 2736 2545 2729 2559 | ACC: -3336 -1152 -8340 | GYRO: -12577 -3825 2709 | GDP=13422.006
FLEX: 2592 2702 2555 2731 2559 | ACC: 484 7008 -4304 | GYRO: -9627 -4415 -52 | GDP=10591.226
FLEX: 2625 2737 2624 2736 2609 | ACC: -2512 23872 -1704 | GYRO: -2546 3150 -8027 | GDP=8990.959
FLEX: 2597 2714 2559 2698 2621 | ACC: -13168 29356 1440 | GYRO: 1941 -2980 -8484 | GDP=9199.246
FLEX: 2640 2735 2559 2739 2610 | ACC: -25744 26056 -9380 | GYRO: 10596 6178 -1766 | GDP=12391.999
FLEX: 2614 2698 2627 2672 2608 | ACC: -27100 19536 -16892 | GYRO: -7426 -21039 16327 | GDP=27646.986
FLEX: 2638 2709 2642 2766 2624 | ACC: -21088 9452 -8592 | GYRO: -10719 -32768 28802 | GDP=44924.316
FLEX: 2615 2710 2683 2746 2647 | ACC: -6576 4080 -9856 | GYRO: -3327 -32768 32767 | GDP=46459.520
FLEX: 2613 2721 2677 2775 2685 | ACC: 5628 5892 -4948 | GYRO: -834 -32768 32767 | GDP=46347.746
FLEX: 2602 2718 2704 2786 2689 | ACC: 21320 7616 -5352 | GYRO: 4574 -21544 26828 | GDP=34710.332
FLEX: 2657 2690 2685 2757 2698 | ACC: 25588 8284 -9880 | GYRO: 7367 -11888 8513 | GDP=16372.795
FLEX: 2661 2636 2695 2752 2656 | ACC: 22908 8716 -10940 | GYRO: 3767 -2652 -15079 | GDP=15767.043
FLEX: 2675 2586 2688 2771 2655 | ACC: 17828 8796 -9788 | GYRO: -15275 161 -32768 | GDP=36153.746
FLEX: 2671 2515 2647 2753 2621 | ACC: 9464 3164 -524 | GYRO: -31352 -12161 -32768 | GDP=46952.949
FLEX: 2746 2510 2704 2735 2639 | ACC: -10308 -9664 7748 | GYRO: -30701 15148 -32768 | GDP=47389.398
FLEX: 2765 2509 2683 2746 2608 | ACC: -32768 -10196 16168 | GYRO: -14381 -9553 -32768 | GDP=37038.020
FLEX: 2769 2497 2674 2758 2649 | ACC: -26244 -6660 11248 | GYRO: -1635 -1950 -599 | GDP=2614.293
FLEX: 2768 2496 2689 2737 2606 | ACC: -15796 1336 7040 | GYRO: 376 -4873 4270 | GDP=6490.023
FLEX: 2753 2480 2633 2753 2639 | ACC: -10956 3924 5720 | GYRO: 3076 -98 2927 | GDP=4247.200
