# sentence_label=Do you want help?
# timestamp=1764407166.7925224
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2541 2631 2608 2743 2496 | ACC: 5508 4788 20732 | GYRO: 9284 14897 5750 | GDP=18470.943
FLEX: 2683 2627 2602 2717 2480 | ACC: -3828 4320 30612 | GYRO: 27241 26205 -1330 | GDP=37822.520
FLEX: 2633 2619 2731 2660 2639 | ACC: -6948 11456 20348 | GYRO: 30496 30781 6723 | GDP=43848.316
FLEX: 2634 2614 2681 2757 2604 | ACC: -10960 12276 19012 | GYRO: 30395 23574 23285 | GDP=44964.215
FLEX: 2639 2640 2671 2785 2687 | ACC: 3236 10852 6020 | GYRO: 30718 10546 26697 | GDP=42042.164
FLEX: 2586 2672 2685 2799 2726 | ACC: 5224 9556 1676 | GYRO: 23854 10189 22701 | GDP=34469.762
FLEX: 2639 2531 2635 2768 2699 | ACC: 11248 7832 -2956 | GYRO: 21213 7230 18471 | GDP=29042.074
FLEX: 2726 2514 2639 2803 2735 | ACC: 12656 9372 -5524 | GYRO: 14363 9467 12742 | GDP=21407.439
FLEX: 2705 2495 2608 2743 2711 | ACC: 14172 9016 -5612 | GYRO: 7149 5990 7127 | GDP=11738.076
FLEX: 2726 2470 2559 2798 2689 | ACC: 15184 9452 -6196 | GYRO: 5777 2614 -87 | GDP=6341.474
FLEX: 2785 2473 2545 2750 2721 | ACC: 13016 9804 -4944 | GYRO: -192 799 -6893 | GDP=6941.809
FLEX: 2771 2463 2559 2751 2699 | ACC: 13284 11356 -4724 | GYRO: -4227 2198 -15161 | GDP=15891.969
FLEX: 2784 2436 2510 2711 2675 | ACC: 9828 10780 -1648 | GYRO: -8067 -864 -22649 | GDP=24058.268
FLEX: 2791 2467 2531 2753 2698 | ACC: 7392 12036 -652 | GYRO: -12614 -5590 -29370 | GDP=32449.314
FLEX: 2782 2446 2541 2736 2667 | ACC: 6300 7280 3320 | GYRO: -15252 -11831 -32768 | GDP=38030.750
FLEX: 2801 2466 2523 2688 2666 | ACC: 128 2480 5032 | GYRO: -22040 -4319 -32768 | GDP=39726.027
FLEX: 2775 2436 2521 2685 2642 | ACC: -15588 -10448 13996 | GYRO: -26189 2579 -32768 | GDP=42026.859
FLEX: 2791 2448 2554 2756 2642 | ACC: -32768 -8692 15428 | GYRO: -7780 7838 -22354 | GDP=24933.189
FLEX: 2758 2461 2522 2730 2597 | ACC: -24912 -4532 10724 | GYRO: 4396 -6957 4711 | GDP=9482.520
FLEX: 2763 2479 2539 2719 2653 | ACC: -16032 3604 5732 | GYRO: 220 3979 5662 | GDP=6923.806
FLEX: 2762 2429 2509 2734 2625 | ACC: -20816 3232 8780 | GYRO: -9201 5759 13667 | GDP=17453.119
FLEX: 2704 2462 2522 2704 2637 | ACC: -19648 1124 10400 | GYRO: -6543 5802 19194 | GDP=21092.266
FLEX: 2672 2559 2626 2713 2608 | ACC: -19184 4300 9076 | GYRO: -4921 5334 23668 | GDP=24755.646
FLEX: 2672 2688 2673 2731 2610 | ACC: -15884 9624 6024 | GYRO: -5279 6890 23621 | GDP=25165.285
FLEX: 2671 2729 2618 2715 2555 | ACC: -16196 9292 6228 | GYRO: -4684 9613 30357 | GDP=32185.355
FLEX: 2694 2758 2598 2736 2630 | ACC: -6148 9796 3480 | GYRO: -1987 6494 24636 | GDP=25554.895
FLEX: 2668 2774 2558 2763 2695 | ACC: -2204 10324 3320 | GYRO: 2268 14949 19540 | GDP=24706.842
FLEX: 2693 2759 2559 2757 2733 | ACC: 240 11428 1956 | GYRO: -1172 15207 13331 | GDP=20256.900
FLEX: 2651 2739 2559 2741 2761 | ACC: 804 11780 2616 | GYRO: -9213 14530 8064 | GDP=19000.746
FLEX: 2678 2738 2586 2816 2798 | ACC: 3564 10204 4616 | GYRO: -10789 13068 2289 | GDP=17100.137
FLEX: 2673 2704 2587 2845 2779 | ACC: -912 11580 6264 | GYRO: -11289 11458 -4316 | GDP=16653.982
FLEX: 2699 2757 2589 2841 2823 | ACC: -2328 10304 7092 | GYRO: -11119 12045 -6396 | GDP=17596.109
FLEX: 2716 2752 2559 2809 2779 | ACC: -7340 9460 8176 | GYRO: -7565 9014 -10284 | GDP=15628.246
FLEX: 2731 2763 2611 2864 2799 | ACC: -8736 8220 8180 | GYRO: -6000 7745 -11979 | GDP=15475.188
FLEX: 2739 2725 2606 2817 2755 | ACC: -10936 7184 7884 | GYRO: -5780 5785 -12501 | GDP=14938.193
FLEX: 2760 2780 2598 2815 2819 | ACC: -5760 6700 5072 | GYRO: -2953 6204 -17592 | GDP=18886.193
FLEX: 2741 2746 2551 2831 2762 | ACC: -12132 9552 2144 | GYRO: 7007 7634 -5521 | GDP=11741.271
FLEX: 2751 2773 2505 2858 2813 | ACC: -14072 9520 7020 | GYRO: 1818 2006 -2014 | GDP=3374.219
FLEX: 2768 2815 2559 2817 2754 | ACC: -15564 9712 5236 | GYRO: 1522 1515 -326 | GDP=2172.092
FLEX: 2757 2799 2613 2833 2752 | ACC: -13008 8364 5304 | GYRO: 411 -2502 58 | GDP=2536.196
FLEX: 2759 2746 2556 2838 2739 | ACC: -11088 8016 5888 | GYRO: 2087 -995 -129 | GDP=2315.650
FLEX: 2714 2731 2581 2832 2763 | ACC: -12452 7552 4916 | GYRO: 2502 -966 -942 | GDP=2842.626
FLEX: 2752 2748 2595 2798 2717 | ACC: -13056 7452 6528 | GYRO: 4173 -58 -1575 | GDP=4460.708
FLEX: 2747 2759 2606 2819 2770 | ACC: -16964 9748 6096 | GYRO: 7028 4373 1000 | GDP=8337.620
FLEX: 2701 2753 2593 2800 2766 | ACC: -18012 8604 12664 | GYRO: 11016 7060 7599 | GDP=15130.785
FLEX: 2713 2753 2630 2811 2757 | ACC: -8696 9972 11176 | GYRO: 22785 -13915 13908 | GDP=30103.420
FLEX: 2673 2750 2623 2791 2732 | ACC: -8604 10144 7524 | GYRO: 31913 15798 7303 | GDP=36350.379
FLEX: 2671 2726 2590 2757 2697 | ACC: -5692 9212 -4484 | GYRO: 29262 13247 8498 | GDP=33225.949
FLEX: 2638 2679 2513 2704 2640 | ACC: -8280 8900 -7120 | GYRO: 23431 8794 4323 | GDP=25397.529
FLEX: 2658 2651 2479 2690 2594 | ACC: -5580 9528 -13848 | GYRO: 16818 6387 1560 | GDP=18057.477
FLEX: 2619 2642 2397 2673 2551 | ACC: -7740 6788 -13484 | GYRO: 11627 4836 -822 | GDP=12619.418
FLEX: 2630 2673 2398 2669 2554 | ACC: -10544 6100 -13188 | GYRO: 5705 2981 1120 | GDP=6533.589
FLEX: 2634 2679 2410 2654 2558 | ACC: -7772 3080 -15628 | GYRO: 1934 1370 -1060 | GDP=2596.316
FLEX: 2643 2693 2384 2666 2522 | ACC: -9336 896 -11840 | GYRO: -4408 -5191 1254 | GDP=6924.555
