# sentence_label=What time is it?
# timestamp=1764327882.539622
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2678 2547 2432 2627 2555 | ACC: -1168 5824 15496 | GYRO: 688 -10 -63 | GDP=690.951
FLEX: 2704 2559 2448 2659 2526 | ACC: -1208 5740 15484 | GYRO: 640 -22 18 | GDP=640.631
FLEX: 2715 2553 2438 2624 2523 | ACC: -1136 5660 15-1452 5572 15432 | GYRO: 641 62 -145 | GDP=660.114
FLEX: 2675 2559 2414 2599 2507 | ACC: -1640 5396 15648 | GYRO: 461 319 -301 | GDP=636.304
FLEX: 2693 2559 2428 2620 2531 | ACC: -1668 5388 15432 | GYRO: 579 138 -254 | GDP=647.148
FLEX: 2704 2559 2431 2638 2542 | ACC: -1348 5228 15576 | GYRO: 535 -4 -172 | GDP=561.983
FLEX: 2686 2599 2437 2593 2559 | ACC: -1496 5304 15556 | GYRO: 556 660 -596 | GDP=1048.786
FLEX: 2672 2559 2431 2639 2499 | ACC: -1764 5664 15648 | GYRO: 387 366 -504 | GDP=733.308
FLEX: 2700 2559 2427 2639 2522 | ACC: -1268 5276 15448 | GYRO: 88 541 -884 | GDP=1040.135
FLEX: 2654 2599 2447 2623 2518 | ACC: -1380 4996 15744 | GYRO: 265 2755 -2017 | GDP=3424.696
FLEX: 2704 2559 2437 2630 2559 | ACC: -1856 4804 15920 | GYRO: 404 4568 -2058 | GDP=5026.450
FLEX: 2695 2544 2459 2631 2544 | ACC: -3220 5316 16016 | GYRO: 807 8709 -2957 | GDP=9232.647
FLEX: 2704 2559 2427 2640 2548 | ACC: -4636 3680 18680 | GYRO: 5265 5729 -2918 | GDP=8310.017
FLEX: 2689 2547 2465 2675 2518 | ACC: -4812 5324 15624 | GYRO: 10930 20520 -740 | GDP=23261.187
FLEX: 2673 2559 2559 2715 2559 | ACC: -15276 6000 14924 | GYRO: 14873 30686 -33 | GDP=34100.410
FLEX: 2645 2559 2633 2775 2596 | ACC: -18392 9924 10472 | GYRO: 9966 12582 7583 | GDP=17751.895
FLEX: 2637 2559 2670 2790 2713 | ACC: -16724 9192 10388 | GYRO: 1437 -3190 13961 | GDP=14392.728
FLEX: 2619 2551 2727 2811 2735 | ACC: -11088 9304 9888 | GYRO: 2806 -9099 17182 | GDP=19643.996
FLEX: 2625 2556 2764 2771 2736 | ACC: -5828 9340 8328 | GYRO: 2313 -9446 14109 | GDP=17135.949
FLEX: 2630 2559 2777 2843 2768 | ACC: -2784 10124 7432 | GYRO: 180 -12498 14268 | GDP=18968.611
FLEX: 2687 2559 2808 2883 2761 | ACC: 1548 8752 7332 | GYRO: -2288 -18650 13099 | GDP=22905.049
FLEX: 2754 2559 2826 2870 2768 | ACC: 5500 8952 6992 | GYRO: -3876 -14161 12195 | GDP=19085.998
FLEX: 2771 2545 2854 2845 2763 | ACC: 6080 8696 8524 | GYRO: -6795 -11190 9974 | GDP=16458.092
FLEX: 2803 2544 2913 2911 2745 | ACC: 7340 7492 10004 | GYRO: -7904 -4293 8354 | GDP=12275.683
FLEX: 2811 2559 2822 2869 2791 | ACC: 6332 6584 11976 | GYRO: -8252 -5393 6076 | GDP=11580.058
FLEX: 2866 2551 2858 2883 2741 | ACC: 7116 6528 12284 | GYRO: -7095 -4382 3420 | GDP=9013.177
FLEX: 2893 2539 2864 2864 2755 | ACC: 7944 6448 13080 | GYRO: -6930 -4945 1499 | GDP=8644.357
FLEX: 2896 2512 2845 2906 2757 | ACC: 7228 5792 14420 | GYRO: -10208 -8532 1528 | GDP=13391.530
FLEX: 2879 2544 2886 2941 2746 | ACC: 5840 5472 21916 | GYRO: 1170 4025 -2002 | GDP=4645.162
FLEX: 2901 2529 2865 2880 2722 | ACC: 8324 4392 15880 | GYRO: 6742 -480 -2448 | GDP=7188.718
FLEX: 2907 2531 2831 2900 2778 | ACC: 6828 8440 11216 | GYRO: 6533 3956 -3172 | GDP=8269.922
FLEX: 2924 2514 2854 2883 2752 | ACC: 4912 7832 9280 | GYRO: 2919 3577 -2324 | GDP=5168.797
FLEX: 2929 2535 2843 2887 2727 | ACC: 2248 9428 7624 | GYRO: -5170 -780 512 | GDP=5253.517
FLEX: 2879 2514 2858 2912 2699 | ACC: 6184 5792 12124 | GYRO: -10746 -5316 3558 | GDP=12505.828
FLEX: 2942 2527 2789 2924 2741 | ACC: 12120 4732 21632 | GYRO: 4007 11282 -958 | GDP=12010.717
FLEX: 2907 2527 2777 2922 2741 | ACC: 8116 3964 17108 | GYRO: 4668 -233 -1350 | GDP=4864.875
FLEX: 2857 2510 2852 2916 2727 | ACC: 4464 8228 13060 | GYRO: 8414 3486 -2452 | GDP=9431.855
FLEX: 2936 2550 2805 2878 2768 | ACC: 5108 7808 11024 | GYRO: 4835 1276 -1409 | GDP=5195.255
FLEX: 2919 2531 2837 2851 2723 | ACC: 3688 9216 8300 | GYRO: -1973 -36 247 | GDP=1988.727
FLEX: 2901 2491 2802 2864 2734 | ACC: 4532 7340 10224 | GYRO: -11125 -2819 3629 | GDP=12036.695
FLEX: 2880 2551 2823 2935 2719 | ACC: 15528 2440 23620 | GYRO: 3773 1119 1086 | GDP=4082.534
