# sentence_label=Are you hearing?
# timestamp=1764406863.9754245
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2639 2704 2559 2709 2542 | ACC: 836 7112 15180 | GYRO: 526 -28 -21 | GDP=527.163
FLEX: 2519 2708 2535 2775 2523 | ACC: -8976 9848 24536 | GYRO: 12470 20124 316 | GDP=23676.488
FLEX: 2624 2727 2521 2730 2530 | ACC: -7888 10156 22544 | GYRO: 20456 17267 9680 | GDP=28465.764
FLEX: 2687 2647 2545 2736 2513 | ACC: -7780 12976 16468 | GYRO: 24210 17178 16350 | GDP=33889.973
FLEX: 2612 2731 2651 2683 2559 | ACC: -4924 11188 10948 | GYRO: 24423 14708 21853 | GDP=35921.605
FLEX: 2651 2704 2662 2736 2625 | ACC: -432 10792 6384 | GYRO: 24366 11410 24578 | GDP=36441.297
FLEX: 2559 2698 2668 2732 2627 | ACC: 5188 10376 844 | GYRO: 21901 10506 22392 | GDP=33036.820
FLEX: 2594 2686 2715 2763 2683 | ACC: 8512 9624 -1364 | GYRO: 18900 9209 16877 | GDP=26960.135
FLEX: 2559 2655 2675 2718 2610 | ACC: 10944 11160 -4176 | GYRO: 14503 7111 8472 | GDP=18239.465
FLEX: 2559 2663 2641 2735 2640 | ACC: 11852 11792 -4556 | GYRO: 9384 9426 4065 | GDP=13908.024
FLEX: 2614 2615 2635 2734 2642 | ACC: 12076 12012 -6480 | GYRO: 4968 1918 -4897 | GDP=7234.664
FLEX: 2598 2559 2641 2721 2635 | ACC: 10628 13076 -6612 | GYRO: -1034 1621 -10922 | GDP=11089.945
FLEX: 2678 2505 2611 2735 2655 | ACC: 8308 12048 -3280 | GYRO: -7282 -3237 -15055 | GDP=17034.047
FLEX: 2689 2503 2625 2741 2605 | ACC: 7736 13540 -3628 | GYRO: -10525 -5998 -23954 | GDP=26842.982
FLEX: 2693 2483 2554 2736 2640 | ACC: 4264 11148 -1656 | GYRO: -27669 -5216 -32768 | GDP=43203.266
