# sentence_label=What time is it?
# timestamp=1764327810.2293313
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2871 2495 2764 2738 2615 | ACC: 4620 10980 6624 | GYRO: -5893 -1476 7754 | GDP=9850.408
FLEX: 2875 2498 2769 2742 2704 | ACC: 6096 10800 7944 | GYRO: -7594 -4772 6188 | GDP=10896.429
FLEX: 2864 2486 2735 2745 2618 | ACC41.949
FLEX: 2651 2623 2381 2654 2411 | ACC: -508 4288 20472 | GYRO: 11607 -1802 1062 | GDP=11793.960
FLEX: 2625 2559 2493 2688 2496 | ACC: -4420 8588 22092 | GYRO: 14763 15331 3576 | GDP=21581.787
FLEX: 2628 2615 2558 2749 2588 | ACC: -6296 10088 18624 | GYRO: 17952 23138 8157 | GDP=30400.295
FLEX: 2607 2638 2667 2791 2662 | ACC: -9332 11708 12640 | GYRO: 15265 15249 11644 | GDP=24518.055
FLEX: 2620 2661 2731 2834 2807 | ACC: -2156 9892 9024 | GYRO: 12379 -5571 16448 | GDP=21326.330
FLEX: 2609 2636 2727 2813 2783 | ACC: -4 10608 7124 | GYRO: 9536 1533 14301 | GDP=17256.998
FLEX: 2559 2655 2754 2858 2739 | ACC: 2904 10684 6072 | GYRO: 6747 -2839 13892 | GDP=15702.535
FLEX: 2614 2624 2843 2816 2791 | ACC: 4320 11232 4608 | GYRO: 1580 -247 11961 | GDP=12067.433
FLEX: 2689 2559 2807 2896 2772 | ACC: 4876 10636 6312 | GYRO: 1832 -3170 7598 | GDP=8434.141
FLEX: 2757 2608 2823 2896 2775 | ACC: 6032 12120 5020 | GYRO: -1521 -784 6638 | GDP=6855.008
FLEX: 2822 2610 2858 2863 2760 | ACC: 4928 11112 6252 | GYRO: -5613 -4481 6483 | GDP=9675.454
FLEX: 2841 2559 2853 2884 2729 | ACC: 6560 11488 6172 | GYRO: -7974 -4228 4918 | GDP=10278.491
FLEX: 2880 2586 2831 2814 2752 | ACC: 6312 10976 7268 | GYRO: -11008 -3276 4536 | GDP=12348.423
FLEX: 2909 2533 2831 2829 2729 | ACC: 6476 10188 10128 | GYRO: -10611 -4495 3015 | GDP=11911.699
FLEX: 2911 2535 2809 2841 2733 | ACC: 9232 8388 11256 | GYRO: -9968 -5107 2125 | GDP=11399.916
FLEX: 2857 2539 2803 2808 2753 | ACC: 6180 8992 12256 | GYRO: -7940 -2589 933 | GDP=8403.393
FLEX: 2882 2591 2789 2870 2739 | ACC: 6952 5036 15524 | GYRO: -14502 -8406 5866 | GDP=17758.906
FLEX: 2859 2559 2757 2814 2679 | ACC: 6604 6692 20120 | GYRO: 3506 -793 -1057 | GDP=3746.750
FLEX: 2862 2556 2805 2863 2715 | ACC: 9124 6024 13668 | GYRO: 6979 168 -2879 | GDP=7551.377
FLEX: 2839 2551 2726 2821 2694 | ACC: 4928 10032 8808 | GYRO: 3637 -642 -999 | GDP=3825.955
FLEX: 2843 2523 2767 2802 2704 | ACC: 6352 9820 6696 | GYRO: -3567 -1505 1873 | GDP=4300.772
FLEX: 2849 2544 2780 2800 2687 | ACC: 6368 7336 10892 | GYRO: -11297 -4625 6224 | GDP=13702.227
FLEX: 2832 2555 2762 2802 2707 | ACC: 8160 6320 16640 | GYRO: 4467 -1848 -1212 | GDP=4983.787
FLEX: 2826 2533 2731 2826 2739 | ACC: 8616 6828 13452 | GYRO: 8515 1911 -3979 | GDP=9591.120
FLEX: 2823 2544 2704 2818 2715 | ACC: 5384 10992 7456 | GYRO: 1563 -139 -1053 | GDP=1889.735
FLEX: 2800 2544 2768 2819 2690 | ACC: 5208 9460 6932 | GYRO: -10476 964 3781 | GDP=11179.080
FLEX: 2829 2694 2722 2750 2724 | ACC: 9232 5704 20040 | GYRO: 1765 5525 820 | GDP=5857.751
FLEX: 2781 2559 2731 2759 2691 | ACC: 13388 5260 11476 | GYRO: 5554 5270 -2329 | GDP=8002.753
FLEX: 2801 2549 2706 2842 2808 | ACC: 13648 4056 12588 | GYRO: 13168 21876 -9037 | GDP=27085.475
FLEX: 2745 2543 2703 2783 2682 | ACC: 11992 6240 10584 | GYRO: 13871 28355 -10297 | GDP=33202.996
FLEX: 2721 2531 2638 2747 2641 | ACC: 5000 5256 8524 | GYRO: 16652 32767 -11797 | GDP=38602.262
FLEX: 2674 2498 2473 2724 2559 | ACC: -2840 6152 5204 | GYRO: 24351 32767 -12964 | GDP=42833.547
FLEX: 2638 2507 2367 2677 2559 | ACC: -7964 10344 -5440 | GYRO: 32767 32767 -6331 | GDP=46770.016
FLEX: 2623 2477 2315 2657 2503 | ACC: -11300 13796 -12120 | GYRO: 32767 32767 -3883 | GDP=46501.938
FLEX: 2631 2481 2267 2688 2471 | ACC: -7516 11588 -17132 | GYRO: 32223 32767 -443 | GDP=45958.613
FLEX: 2614 2486 2257 2583 2444 | ACC: 1392 7012 -21468 | GYRO: 20448 11517 1712 | GDP=23530.680
FLEX: 2605 2482 2257 2706 2457 | ACC: 2528 6144 -22404 | GYRO: 3940 -61 -10421 | GDP=11141.120
FLEX: 2618 2462 2240 2608 2442 | ACC: -860 4784 -19084 | GYRO: -11631 -13166 -15586 | GDP=23485.041
FLEX: 2597 2493 2235 2608 2451 | ACC: -11036 7448 -10484 | GYRO: -12591 -9349 -17971 | GDP=23851.498
FLEX: 2596 2470 2256 2591 2417 | ACC: -20312 8536 -4200 | GYRO: -11304 -1922 -10190 | GDP=15339.837
FLEX: 2559 2503 2242 2559 2457 | ACC: -21760 10924 -3116 | GYRO: 1521 2140 4799 | GDP=5470.232
FLEX: 2589 2474 2240 2587 2448 | ACC: -12516 7524 -7500 | GYRO: 8899 7751 14568 | GDP=18748.248
FLEX: 2608 2496 2231 2587 2479 | ACC: -6352 7740 -12084 | GYRO: 9450 9043 13184 | GDP=18571.381
FLEX: 2559 2493 2225 2555 2471 | ACC: -636 5700 -14268 | GYRO: 8541 3622 12290 | GDP=15398.431
FLEX: 2610 2499 2199 2668 2465 | ACC: 5184 6036 -19156 | GYRO: 4100 -112 2329 | GDP=4716.650
FLEX: 2581 2480 2247 2559 2434 | ACC: 2656 4804 -17064 | GYRO: -2463 -5845 -7055 | GDP=9487.013
FLEX: 2559 2480 2242 2611 2495 | ACC: -3388 6492 -13244 | GYRO: -7085 -5618 -12159 | GDP=15152.572
FLEX: 2559 2471 2261 2590 2458 | ACC: -7928 6844 -10724 | GYRO: -5945 -5179 -12128 | GDP=14465.595
FLEX: 2627 2485 2227 2597 2494 | ACC: -14928 8940 -7824 | GYRO: -6064 -4679 -10849 | GDP=13280.284
FLEX: 2590 2500 2212 2559 2465 | ACC: -18780 9428 -6080 | GYRO: -1089 654 -1940 | GDP=2318.887
FLEX: 2608 2480 2238 2587 2512 | ACC: -16056 8984 -7316 | GYRO: 4177 160 6379 | GDP=7626.570
FLEX: 2559 2469 2246 2531 2480 | ACC: -10548 7604 -9900 | GYRO: 10270 5666 11285 | GDP=16276.600
FLEX: 2607 2503 2227 2597 2534 | ACC: -5396 7124 -14076 | GYRO: 8311 6204 9983 | GDP=14395.229
FLEX: 2588 2487 2209 2556 2489 | ACC: -1204 6300 -15400 | GYRO: 4902 -200 6348 | GDP=8022.887
FLEX: 2603 2497 2240 2593 2474 | ACC: -1680 7332 -16364 | GYRO: 1227 -1931 766 | GDP=2412.684
FLEX: 2548 2483 2224 2559 2483 | ACC: -6352 7988 -14204 | GYRO: 329 -2002 -1224 | GDP=2369.477
FLEX: 2603 2426 2262 2559 2479 | ACC: -5608 7828 -13604 | GYRO: -448 -494 310 | GDP=735.418
FLEX: 2591 2511 2230 2555 2513 | ACC: -6632 8052 -12536 | GYRO: -767 -1046 -722 | GDP=1484.483
FLEX: 2591 2510 2266 2635 2503 | ACC: -7088 7884 -12280 | GYRO: 136 -583 -244 | GDP=646.468
FLEX: 2599 2502 2236 2608 2480 | ACC: -7056 7684 -12692 | GYRO: 253 -640 -566 | GDP=891.047
FLEX: 2589 2478 2218 2604 2483 | ACC: -7688 7992 -12384 | GYRO: 602 -459 204 | GDP=784.029
FLEX: 2606 2481 2238 2607 2467 | ACC: -6664 8096 -12816 | GYRO: 397 -795 183 | GDP=907.261
FLEX: 2601 2488 2255 2615 2503 | ACC: -6568 8340 -12600 | GYRO: 253 -567 10 | GDP=620.965
FLEX: 2591 2510 2217 2594 2506 | ACC: -7204 8248 -12336 | GYRO: 677 -800 -321 | GDP=1096.070
FLEX: 2599 2512 2193 2601 2503 | ACC: -7028 8120 -12572 | GYRO: 556 10 -175 | GDP=582.976
FLEX: 2594 2480 2224 2591 2481 | ACC: -7304 8332 -12492 | GYRO: 337 -564 -362 | GDP=750.139
FLEX: 2607 2496 2255 2611 2480 | ACC: -7260 8040 -12396 | GYRO: 465 316 -72 | GDP=566.802
FLEX: 2608 2486 2225 2592 2480 | ACC: -7044 7956 -12204 | GYRO: 502 -696 -170 | GDP=874.826
FLEX: 2591 2485 2242 2602 2498 | ACC: -7440 8144 -12080 | GYRO: 665 488 20 | GDP=825.087
FLEX: 2623 2469 2256 2609 2494 | ACC: -7088 8184 -12492 | GYRO: 587 -222 -41 | GDP=628.915
FLEX: 2630 2496 2258 2611 2467 | ACC: -7340 8164 -12224 | GYRO: 649 -164 -49 | GDP=671.191
FLEX: 2603 2477 2225 2559 2497 | ACC: -7156 8200 -12552 | GYRO: 678 -178 -18 | GDP=701.208
FLEX: 2608 2415 2259 2585 2487 | ACC: -7372 7956 -12112 | GYRO: 759 -345 -324 | GDP=894.473
FLEX: 2544 2511 2247 2559 2497 | ACC: -7048 8344 -12536 | GYRO: 808 0 -27 | GDP=808.451
FLEX: 2598 2495 2239 2559 2497 | ACC: -7816 8104 -12184 | GYRO: 725 -387 -52 | GDP=823.467
FLEX: 2611 2474 2245 2583 2483 | ACC: -7112 8116 -12720 | GYRO: 462 -45 218 | GDP=512.828
