# sentence_label=Rest
# timestamp=1764327624.3814929
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2559 2535 2256 2463 2384 | ACC: 3360 -1028 16156 | GYRO: 633 -99 3 | GDP=640.702
FLEX: 2480 2443 2234 2390 2450 | ACC: 3320 -1080 16216 | GYRO: 700 29 -28 | GDP=701.160
FLEX: 2523 2473 2288 2420 2439 | ACC: 3304 -1044 16224 | GYRO: 677 -26 -29 | GDP=678.119
FLEX: 2512 2477 2297 2432 2457 | ACC: 3376 -1040 16232 | GYRO: 653 -14 -61 | GDP=655.992
FLEX: 2399 2390 2242 2379 2432 | ACC: 3360 -996 16152 | GYRO: 639 -96 -9 | GDP=646.234
FLEX: 2482 2475 2266 2393 2487 | ACC: 3360 -1020 16152 | GYRO: 629 43 7 | GDP=630.507
FLEX: 2512 2471 2242 2403 2464 | ACC: 3392 -992 16268 | GYRO: 623 -118 -4 | GDP=634.089
FLEX: 2500 2467 2249 2421 2447 | ACC: 3372 -1028 16276 | GYRO: 658 -54 18 | GDP=660.457
FLEX: 2512 2479 2228 2368 2432 | ACC: 3316 -1048 16324 | GYRO: 674 46 -13 | GDP=675.693
FLEX: 2512 2453 2269 2429 2449 | ACC: 3484 -1000 16196 | GYRO: 703 63 -6 | GDP=705.843
FLEX: 2534 2480 2273 2431 2368 | ACC: 3316 -1032 16236 | GYRO: 647 -15 -17 | GDP=647.397
FLEX: 2517 2473 2247 2382 2449 | ACC: 3332 -1016 16180 | GYRO: 656 34 -1 | GDP=656.881
FLEX: 2484 2465 2249 2435 2462 | ACC: 3336 -920 16208 | GYRO: 650 -81 -11 | GDP=655.120
FLEX: 2480 2439 2236 2419 2433 | ACC: 3460 -976 16160 | GYRO: 651 -28 14 | GDP=651.752
FLEX: 2499 2490 2235 2421 2454 | ACC: 3308 -1056 16192 | GYRO: 619 -60 -6 | GDP=621.930
FLEX: 2499 2467 2253 2438 2449 | ACC: 3236 -1036 16192 | GYRO: 692 37 -1 | GDP=692.989
FLEX: 2512 2467 2256 2418 2449 | ACC: 3472 -1052 16220 | GYRO: 660 -6 -26 | GDP=660.539
