# sentence_label=What time is it?
# timestamp=1764327909.9235005
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2612 2590 2450 2655 2541 | ACC: -2100 6656 15416 | GYRO: 671 1376 -707 | GDP=1686.258
FLEX: 2613 2559 2472 2676 2462 | ACC: -700 6604 14800 | GYRO: 220 3180 -1234 | GDP=3418.122
FLEX: 2611 2595 2501 2659 2485 | ACC: -1696 6560 15196 | GYRO: 406 9167 -2138 | GDP=9421.771
FLEX: 2622 2597 2499 2667 2511 | ACC: -3896 6248 15052 | GYRO: 2173 13659 -2928 | GDP=14137.306
FLEX: 2626 2559 2484 2662 2501 | ACC: -6172 6112 15276 | GYRO: 5347 11733 -3253 | GDP=13297.960
FLEX: 2645 2590 2479 2701 2480 | ACC: -6436 7124 13364 | GYRO: 7922 16069 -3497 | GDP=18253.764
FLEX: 2619 2585 2548 2688 2559 | ACC: -9680 6876 12888 | GYRO: 9156 13338 -3295 | GDP=16510.350
FLEX: 2609 2605 2591 2730 2606 | ACC: -11296 7664 11304 | GYRO: 10643 15648 -2242 | GDP=19056.754
FLEX: 2625 2607 2614 2784 2660 | ACC: -15560 8632 10764 | GYRO: 13584 11512 60 | GDP=17806.033
FLEX: 2605 2608 2631 2799 2595 | ACC: -16660 9984 9012 | GYRO: 11849 3934 6005 | GDP=13854.067
FLEX: 2608 2557 2708 2816 2693 | ACC: -13964 11064 7020 | GYRO: 13034 -2265 8215 | GDP=15572.463
FLEX: 2647 2596 2713 2788 2723 | ACC: -13832 12496 4304 | GYRO: 8853 -1994 10929 | GDP=14205.445
FLEX: 2646 2559 2787 2787 2721 | ACC: -11924 11268 4268 | GYRO: 6656 -8555 16694 | GDP=19904.271
FLEX: 2741 2556 2831 2807 2765 | ACC: -8904 12460 2844 | GYRO: 4808 -11740 20447 | GDP=24062.922
FLEX: 2791 2589 2832 2810 2741 | ACC: -3756 13116 676 | GYRO: -1611 -12797 22005 | GDP=25506.441
FLEX: 2803 2543 2842 2821 2768 | ACC: 944 11928 1252 | GYRO: -6325 -9734 19686 | GDP=22853.773
FLEX: 2803 2544 2831 2795 2767 | ACC: 3140 11932 2696 | GYRO: -8798 -8774 17112 | GDP=21147.303
FLEX: 2822 2559 2807 2813 2737 | ACC: 7056 9976 4032 | GYRO: -11540 -9342 14198 | GDP=20543.314
FLEX: 2843 2545 2800 2867 2727 | ACC: 7908 8692 7336 | GYRO: -12523 -5854 10536 | GDP=17381.086
FLEX: 2859 2534 2783 2823 2739 | ACC: 8064 7708 9732 | GYRO: -10490 -7485 7317 | GDP=14819.036
FLEX: 2833 2528 2743 2778 2736 | ACC: 9164 8832 9452 | GYRO: -10840 -6620 5461 | GDP=13825.792
FLEX: 2845 2559 2746 2786 2769 | ACC: 10060 7540 13372 | GYRO: -13579 -7337 5785 | GDP=16482.932
FLEX: 2823 2535 2723 2784 2753 | ACC: 5312 8684 22656 | GYRO: 3699 -1590 -3145 | GDP=5108.985
FLEX: 2836 2551 2730 2794 2747 | ACC: 9096 7340 14156 | GYRO: 8852 107 -3342 | GDP=9462.469
FLEX: 2849 2559 2741 2806 2708 | ACC: 5172 11672 8096 | GYRO: 8907 1866 -2219 | GDP=9366.993
FLEX: 2964 2547 2766 2892 2716 | ACC: 5144 12688 3560 | GYRO: 2168 31 1080 | GDP=2422.310
FLEX: 2799 2545 2711 2797 2733 | ACC: 5016 13040 2768 | GYRO: -15585 -4204 6219 | GDP=17298.607
FLEX: 2832 2701 2717 2779 2715 | ACC: 27636 -6100 26644 | GYRO: -10887 -10710 2789 | GDP=15524.478
FLEX: 2800 2549 2675 2736 2690 | ACC: 11216 7788 14052 | GYRO: 2105 -3999 697 | GDP=4572.618
FLEX: 2795 2537 2699 2754 2703 | ACC: 9176 6848 13760 | GYRO: 11135 4773 -4139 | GDP=12802.386
FLEX: 2849 2529 2659 2797 2719 | ACC: 5460 10144 9180 | GYRO: 7729 -75 -1769 | GDP=7929.213
FLEX: 2815 2559 2706 2752 2695 | ACC: 4712 12144 5260 | GYRO: 2534 892 1060 | GDP=2887.979
FLEX: 2813 2544 2647 2781 2683 | ACC: 5996 12276 3436 | GYRO: -14932 -3187 5765 | GDP=16320.442
FLEX: 2806 2542 2678 2763 2721 | ACC: 28392 -3684 32767 | GYRO: -5254 -9306 899 | GDP=10724.474
FLEX: 2773 2554 2650 2767 2659 | ACC: 12916 5924 11360 | GYRO: 5549 -4161 -768 | GDP=6978.190
FLEX: 2782 2533 2657 2784 2742 | ACC: 8068 7204 11396 | GYRO: 18236 9210 -8699 | GDP=22204.693
FLEX: 2787 2535 2559 2768 2686 | ACC: 2884 14044 4900 | GYRO: 3029 -417 -175 | GDP=3062.573
FLEX: 2800 2525 2599 2765 2709 | ACC: 4584 12572 3064 | GYRO: -17689 3525 5971 | GDP=18999.451
FLEX: 2770 2558 2615 2765 2670 | ACC: 21248 404 21588 | GYRO: 4432 7094 701 | GDP=8393.978
FLEX: 2759 2583 2559 2771 2695 | ACC: 15468 6240 10552 | GYRO: 2262 6449 -2347 | GDP=7225.971
FLEX: 2704 2524 2581 2780 2656 | ACC: 13196 4140 8140 | GYRO: 8100 28207 -9269 | GDP=30775.953
FLEX: 2705 2527 2597 2722 2656 | ACC: 6276 6172 11740 | GYRO: 11585 32767 -15449 | GDP=38033.672
FLEX: 2688 2519 2525 2737 2609 | ACC: 2176 6276 7028 | GYRO: 20847 32767 -17921 | GDP=42771.906
FLEX: 2688 2512 2590 2741 2629 | ACC: -5984 7676 -2504 | GYRO: 28044 32767 -15351 | GDP=45779.859
FLEX: 2614 2517 2407 2666 2589 | ACC: -15184 13388 -8504 | GYRO: 32767 32767 -11012 | GDP=47629.996
FLEX: 2618 2508 2370 2666 2503 | ACC: -13000 12444 -16588 | GYRO: 32767 32767 -1359 | GDP=46359.457
FLEX: 2592 2479 2311 2590 2446 | ACC: -936 6632 -21664 | GYRO: 19157 26438 -3072 | GDP=32793.227
FLEX: 2686 2496 2289 2559 2439 | ACC: 2692 5048 -22468 | GYRO: 7853 11307 -6973 | GDP=15431.805
FLEX: 2597 2432 2257 2545 2405 | ACC: 2376 2360 -20972 | GYRO: -6016 -5863 -15300 | GDP=17454.428
FLEX: 2606 2496 2269 2525 2384 | ACC: -2096 1136 -15544 | GYRO: -10467 -8416 -22378 | GDP=26099.082
FLEX: 2587 2475 2239 2514 2369 | ACC: -13748 5016 -11884 | GYRO: -14618 -6131 -22751 | GDP=27728.740
FLEX: 2589 2493 2237 2559 2370 | ACC: -24652 7796 -5412 | GYRO: -9212 -7616 -12263 | GDP=17124.414
FLEX: 2582 2459 2244 2480 2380 | ACC: -28744 8720 -2960 | GYRO: -3188 6662 6055 | GDP=9550.320
FLEX: 2559 2458 2255 2499 2390 | ACC: -18756 7068 -4380 | GYRO: 5346 4505 22408 | GDP=23473.244
FLEX: 2586 2448 2229 2483 2364 | ACC: -7340 4556 -8236 | GYRO: 11564 15320 24931 | GDP=31463.998
FLEX: 2587 2479 2270 2497 2367 | ACC: 1136 4108 -11752 | GYRO: 12518 11073 22675 | GDP=28168.551
FLEX: 2595 2477 2247 2503 2370 | ACC: 10604 3656 -17120 | GYRO: 9010 3558 12847 | GDP=16089.900
FLEX: 2607 2480 2245 2543 2363 | ACC: 11168 1608 -17908 | GYRO: 3742 -4416 -1439 | GDP=5964.423
FLEX: 2582 2487 2224 2518 2369 | ACC: 7108 2900 -17788 | GYRO: -3668 -9463 -13182 | GDP=16636.338
FLEX: 2617 2512 2246 2528 2386 | ACC: -1272 3344 -14224 | GYRO: -7091 -17975 -24728 | GDP=31382.430
FLEX: 2606 2480 2236 2510 2368 | ACC: -10000 5276 -12088 | GYRO: -13049 -7012 -25288 | GDP=29307.465
FLEX: 2559 2467 2233 2512 2380 | ACC: -20224 4676 -5160 | GYRO: -12331 -13703 -18250 | GDP=25940.090
FLEX: 2559 2484 2250 2510 2359 | ACC: -23404 8404 -4412 | GYRO: -4364 -7311 -5141 | GDP=9946.109
FLEX: 2607 2480 2246 2516 2378 | ACC: -24680 8980 -2064 | GYRO: 2966 1069 7777 | GDP=8391.761
FLEX: 2559 2481 2227 2505 2394 | ACC: -16412 6704 -6264 | GYRO: 10066 7595 17810 | GDP=21822.109
FLEX: 2602 2453 2247 2521 2412 | ACC: -9648 4852 -9700 | GYRO: 12835 15642 22425 | GDP=30204.139
FLEX: 2603 2480 2251 2514 2371 | ACC: -72 2624 -12944 | GYRO: 12909 9695 23498 | GDP=28509.494
FLEX: 2609 2480 2226 2514 2426 | ACC: 7584 3296 -17176 | GYRO: 10178 10766 13883 | GDP=20303.600
FLEX: 2591 2473 2239 2512 2386 | ACC: 10576 3412 -19080 | GYRO: 3651 -583 -651 | GDP=3754.130
FLEX: 2626 2475 2256 2499 2401 | ACC: 6172 3496 -18572 | GYRO: -5096 -9197 -14222 | GDP=17686.699
FLEX: 2618 2491 2223 2480 2391 | ACC: -3804 3208 -13744 | GYRO: -8131 -16559 -24052 | GDP=30311.918
FLEX: 2608 2474 2244 2506 2409 | ACC: -9996 5252 -11728 | GYRO: -13302 -6847 -22458 | GDP=26984.928
FLEX: 2592 2478 2247 2509 2383 | ACC: -17516 6760 -7760 | GYRO: -10257 -16788 -18054 | GDP=26701.871
FLEX: 2559 2483 2249 2496 2458 | ACC: -21512 7360 -4944 | GYRO: -7003 235 -6692 | GDP=9689.174
FLEX: 2610 2485 2231 2501 2397 | ACC: -20884 7020 -3700 | GYRO: 631 54 5060 | GDP=5099.478
FLEX: 2612 2473 2226 2530 2384 | ACC: -15668 6516 -5708 | GYRO: 7560 7404 13294 | GDP=16991.270
