# sentence_label=Are you hearing?
# timestamp=1764406911.971506
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2669 2668 2559 2785 2643 | ACC: -404 8456 14716 | GYRO: -494 61 269 | GDP=565.790
FLEX: 2672 2692 2588 2799 2631 | ACC: -1084 7184 16640 | GYRO: -1877 1639 51 | GDP=2492.399
FLEX: 2683 2679 2559 2818 2635 | ACC: -1232 5252 17852 | GYRO: 2984 3101 839 | GDP=4384.561
FLEX: 2683 2686 2617 2789 2630 | ACC: -6956 7300 22104 | GYRO: 6385 12993 4792 | GDP=15249.575
FLEX: 2683 2674 2545 2764 2622 | ACC: -4868 8644 20456 | GYRO: 12090 6661 5698 | GDP=14933.326
FLEX: 2667 2697 2610 2771 2608 | ACC: -4704 10708 17468 | GYRO: 14449 10527 10337 | GDP=20650.543
FLEX: 2672 2675 2591 2751 2601 | ACC: -5028 11248 15464 | GYRO: 17417 11036 14534 | GDP=25226.619
FLEX: 2641 2674 2602 2732 2590 | ACC: -2248 11924 10920 | GYRO: 19530 9897 17455 | GDP=28000.867
FLEX: 2655 2675 2627 2765 2584 | ACC: 1944 11912 7404 | GYRO: 23111 8266 17574 | GDP=30187.590
FLEX: 2559 2655 2709 2779 2670 | ACC: 5028 13012 3044 | GYRO: 20169 10874 15159 | GDP=27474.129
FLEX: 2559 2638 2709 2833 2593 | ACC: 6776 13044 124 | GYRO: 22081 10396 12976 | GDP=27640.982
FLEX: 2603 2672 2648 2827 2647 | ACC: 10084 14340 -4428 | GYRO: 13688 7533 7824 | GDP=17473.477
FLEX: 2597 2628 2762 2864 2671 | ACC: 11028 13004 -6160 | GYRO: 12750 5253 4255 | GDP=14431.270
FLEX: 2702 2646 2691 2807 2651 | ACC: 14368 14248 -10124 | GYRO: -1513 1336 -6388 | GDP=6699.299
FLEX: 2640 2545 2703 2801 2630 | ACC: 10732 12072 -4860 | GYRO: -9914 1174 -15197 | GDP=18182.809
FLEX: 2720 2484 2677 2799 2640 | ACC: 10860 8724 -2348 | GYRO: -17564 -5615 -32132 | GDP=37047.102
FLEX: 2731 2507 2677 2768 2635 | ACC: 3624 6820 2080 | GYRO: -22884 -4444 -32768 | GDP=40214.031
FLEX: 2758 2480 2650 2752 2587 | ACC: -1516 2392 1240 | GYRO: -32768 4368 -32768 | GDP=46546.355
FLEX: 2765 2494 2684 2768 2666 | ACC: -29452 -12648 20352 | GYRO: -26341 11836 -32768 | GDP=43677.008
FLEX: 2774 2496 2640 2745 2608 | ACC: -24364 -8308 18556 | GYRO: -934 -17870 -11943 | GDP=21513.822
FLEX: 2774 2485 2692 2770 2623 | ACC: -21140 -636 11820 | GYRO: -34 4026 -1643 | GDP=4348.480
FLEX: 2754 2496 2661 2757 2613 | ACC: -13080 284 11704 | GYRO: 437 -1902 3678 | GDP=4163.683
FLEX: 2751 2546 2700 2761 2629 | ACC: -11540 2908 10404 | GYRO: 2707 1287 2688 | GDP=4026.110
FLEX: 2768 2464 2663 2739 2589 | ACC: -10688 2896 9040 | GYRO: 2351 -1721 3392 | GDP=4471.544
FLEX: 2778 2480 2679 2774 2621 | ACC: -11344 3436 8708 | GYRO: 2471 3220 7649 | GDP=8659.183
FLEX: 2766 2480 2671 2735 2608 | ACC: -13464 196 12960 | GYRO: 5401 591 10860 | GDP=12143.298
FLEX: 2704 2433 2631 2771 2630 | ACC: -11688 3200 8148 | GYRO: 8147 713 22037 | GDP=23505.561
FLEX: 2675 2473 2624 2761 2609 | ACC: -9696 6004 3916 | GYRO: -8428 -784 16115 | GDP=18202.721
FLEX: 2691 2507 2637 2773 2649 | ACC: -13708 4472 6960 | GYRO: -24058 -1017 12554 | GDP=27155.562
FLEX: 2654 2481 2608 2768 2645 | ACC: -19684 4744 10152 | GYRO: -28748 -1594 24864 | GDP=38042.172
FLEX: 2663 2551 2608 2786 2695 | ACC: -16840 2480 17904 | GYRO: -25232 -14709 27933 | GDP=40413.625
FLEX: 2618 2514 2594 2742 2645 | ACC: 1216 7744 20952 | GYRO: -12026 -9440 32767 | GDP=36158.188
FLEX: 2644 2515 2585 2784 2665 | ACC: 10476 2516 30024 | GYRO: 4994 11739 30337 | GDP=32910.148
FLEX: 2626 2510 2599 2735 2657 | ACC: 17496 2000 24848 | GYRO: 25544 11838 10232 | GDP=29955.434
FLEX: 2615 2495 2608 2778 2675 | ACC: 18584 4000 9240 | GYRO: 32621 7853 -7142 | GDP=34304.625
FLEX: 2628 2480 2630 2755 2647 | ACC: 9992 5728 -5312 | GYRO: 17070 9761 -26443 | GDP=32952.910
FLEX: 2643 2512 2637 2759 2687 | ACC: -12456 288 -8816 | GYRO: -15611 -6363 -32768 | GDP=36850.141
FLEX: 2635 2483 2619 2751 2714 | ACC: -32768 -472 -4088 | GYRO: -31587 -12376 -10362 | GDP=35472.172
FLEX: 2630 2510 2618 2812 2692 | ACC: -32768 -180 22636 | GYRO: -32768 -19244 18339 | GDP=42194.695
FLEX: 2638 2473 2647 2769 2636 | ACC: 188 -7472 32767 | GYRO: -6166 -14377 32767 | GDP=36309.695
FLEX: 2634 2512 2544 2738 2706 | ACC: 6992 -7144 32767 | GYRO: 32665 9533 22425 | GDP=40752.434
FLEX: 2639 2511 2640 2767 2675 | ACC: 15880 -2536 13592 | GYRO: 32767 1109 3808 | GDP=33006.164
FLEX: 2587 2445 2647 2859 2688 | ACC: 11068 4700 -4040 | GYRO: 32767 9890 -15218 | GDP=37457.656
FLEX: 2559 2420 2596 2714 2681 | ACC: -840 7700 -9096 | GYRO: 5660 -6434 -29205 | GDP=30436.229
