# sentence_label=Thank you.
# timestamp=1764326989.1322734
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2624 2465 2275 2508 2256 | ACC: -11668 6232 15472 | GYRO: 2168 16051 5472 | GDP=17096.129
FLEX: 2639 2484 2261 2476 2301 | ACC: -13648 8096 12996 | GYRO: -289 20433 12240 | GDP=23820.342
FLEX: 2599 2480 2255 2491 2288 | ACC: -14524 8616 10784 | GYRO: -1371 22251 14956 | GDP=26845.271
FLEX: 2559 2462 2265 2461 2322 | ACC: -12580 9220 9428 | GYRO: -5825 18714 19834 | GDP=27884.260
FLEX: 2559 2471 2245 2480 2285 | ACC: -10460 8396 8896 | GYRO: -7738 15259 19886 | GDP=26232.932
FLEX: 2559 2491 2270 2484 2309 | ACC: -5568 7320 9916 | GYRO: -9890 6889 19791 | GDP=23172.270
FLEX: 2539 2470 2255 2494 2305 | ACC: -3496 7772 11880 | GYRO: -8263 6925 13228 | GDP=17064.957
FLEX: 2557 2450 2279 2468 2304 | ACC: -1580 6920 12772 | GYRO: -7010 2821 8612 | GDP=11457.080
FLEX: 2531 2461 2241 2479 2303 | ACC: -3156 7636 13140 | GYRO: -4154 2208 5512 | GDP=7246.594
FLEX: 2559 2483 2274 2476 2320 | ACC: -5360 8104 12912 | GYRO: -1259 4554 2521 | GDP=5355.318
FLEX: 2545 2441 2247 2481 2301 | ACC: -6680 8460 12756 | GYRO: 29 2077 2053 | GDP=2920.544
FLEX: 2547 2502 2255 2495 2408 | ACC: -7376 8480 13388 | GYRO: 2242 -199 1211 | GDP=2555.912
FLEX: 2539 2450 2221 2466 2299 | ACC: -7076 8608 12764 | GYRO: 4559 1812 1958 | GDP=5282.195
FLEX: 2539 2483 2254 2487 2320 | ACC: -7924 7840 13244 | GYRO: 6376 588 1771 | GDP=6643.460
FLEX: 2528 2454 2259 2469 2287 | ACC: -7220 6912 12424 | GYRO: 6754 -600 903 | GDP=6840.462
FLEX: 2547 2471 2266 2487 2304 | ACC: -8104 8396 10456 | GYRO: 7066 -2477 -2406 | GDP=7864.650
FLEX: 2505 2478 2211 2455 2292 | ACC: -7484 15888 4208 | GYRO: 12429 1278 -744 | GDP=12516.663
FLEX: 2539 2476 2228 2505 2295 | ACC: -5420 19356 436 | GYRO: 6706 -4137 -952 | GDP=7936.719
FLEX: 2544 2465 2243 2467 2307 | ACC: -3460 16736 3544 | GYRO: -2016 -4485 -375 | GDP=4931.542
FLEX: 2540 2475 2273 2468 2320 | ACC: -5780 13372 8092 | GYRO: -1954 -141 763 | GDP=2102.419
FLEX: 2517 2465 2259 2506 2284 | ACC: -6900 13012 8364 | GYRO: -2195 -1726 1369 | GDP=3109.865
FLEX: 2518 2449 2238 2467 2313 | ACC: -7140 12848 9324 | GYRO: -3899 -237 1995 | GDP=4386.160
FLEX: 2516 2457 2220 2445 2297 | ACC: -6808 12136 9948 | GYRO: -2640 -40 3307 | GDP=4231.719
FLEX: 2549 2469 2251 2465 2320 | ACC: -6528 12068 9980 | GYRO: -2699 1810 5953 | GDP=6782.250
FLEX: 2499 2446 2255 2485 2299 | ACC: -4380 11324 10104 | GYRO: -649 2564 6187 | GDP=6728.615
FLEX: 2532 2461 2244 2487 2322 | ACC: -2632 11376 9212 | GYRO: -485 2597 5749 | GDP=6326.977
FLEX: 2502 2465 2275 2466 2311 | ACC: -1768 11068 9824 | GYRO: 849 13299 3793 | GDP=13855.362
FLEX: 2478 2448 2255 2479 2311 | ACC: -2412 10956 11152 | GYRO: 5850 10828 230 | GDP=12309.386
FLEX: 2512 2455 2237 2467 2288 | ACC: -2148 10088 9284 | GYRO: 12750 16755 -6230 | GDP=21956.898
FLEX: 2541 2477 2250 2467 2317 | ACC: -6872 11296 5672 | GYRO: 21137 16587 -13171 | GDP=29922.846
FLEX: 2533 2445 2243 2475 2310 | ACC: -8020 8668 4428 | GYRO: 23163 17115 -15057 | GDP=32498.633
FLEX: 2529 2472 2225 2505 2347 | ACC: -9944 8172 -2508 | GYRO: 32767 14224 -25210 | GDP=43721.191
FLEX: 2513 2463 2253 2469 2299 | ACC: -16260 6356 -6224 | GYRO: 23900 6361 -23891 | GDP=34386.805
FLEX: 2507 2455 2242 2485 2334 | ACC: -17212 6052 -12648 | GYRO: 14794 2204 -13295 | GDP=20011.924
FLEX: 2493 2464 2251 2478 2306 | ACC: -18216 3960 -10208 | GYRO: 6080 5462 -5724 | GDP=9978.177
FLEX: 2502 2455 2230 2493 2331 | ACC: -17020 5548 -9240 | GYRO: 3647 -3125 520 | GDP=4830.801
FLEX: 2523 2470 2247 2463 2290 | ACC: -14560 4740 -7348 | GYRO: -959 1808 969 | GDP=2264.400
FLEX: 2507 2477 2229 2487 2303 | ACC: -14496 5276 -6240 | GYRO: 201 -1778 1206 | GDP=2157.805
FLEX: 2519 2448 2254 2467 2272 | ACC: -13680 4824 -5480 | GYRO: 283 -416 -144 | GDP=523.336
FLEX: 2536 2434 2246 2486 2320 | ACC: -13232 5384 -6296 | GYRO: 1399 -1508 623 | GDP=2149.278
FLEX: 2512 2438 2250 2495 2310 | ACC: -14144 4780 -5876 | GYRO: 251 1552 -427 | GDP=1629.121
FLEX: 2529 2459 2240 2496 2283 | ACC: -13324 5700 -7192 | GYRO: 1074 -560 181 | GDP=1224.678
FLEX: 2491 2473 2224 2461 2288 | ACC: -14616 4804 -6004 | GYRO: 366 1246 -767 | GDP=1508.231
FLEX: 2516 2454 2257 2449 2309 | ACC: -13984 5280 -6544 | GYRO: 771 -876 146 | GDP=1176.067
FLEX: 2495 2443 2251 2490 2278 | ACC: -14800 5040 -6112 | GYRO: 753 594 -199 | GDP=979.513
FLEX: 2534 2464 2230 2483 2301 | ACC: -13876 5352 -6844 | GYRO: 953 -87 464 | GDP=1063.520
FLEX: 2525 2459 2246 2495 2319 | ACC: -13932 5104 -6420 | GYRO: 114 347 -29 | GDP=366.396
FLEX: 2518 2464 2231 2487 2291 | ACC: -13660 5396 -6520 | GYRO: 1080 -597 -51 | GDP=1235.075
FLEX: 2528 2465 2247 2460 2341 | ACC: -13992 4932 -6308 | GYRO: 474 562 -306 | GDP=796.339
FLEX: 2480 2468 2253 2480 2321 | ACC: -14116 5236 -6760 | GYRO: 1444 -1946 245 | GDP=2435.585
FLEX: 2528 2501 2272 2475 2299 | ACC: -14284 4988 -6220 | GYRO: 912 -302 -355 | GDP=1024.194
FLEX: 2412 2432 2206 2452 2320 | ACC: -13980 5172 -6440 | GYRO: 1196 -176 -180 | GDP=1222.208
FLEX: 2521 2359 2243 2480 2342 | ACC: -14192 5256 -6460 | GYRO: 720 -153 99 | GDP=742.705
FLEX: 2452 2442 2287 2512 2323 | ACC: -14016 4996 -6536 | GYRO: 756 560 71 | GDP=943.492
FLEX: 2500 2466 2231 2509 2295 | ACC: -13992 5224 -6768 | GYRO: 1164 -1113 64 | GDP=1611.757
FLEX: 2531 2418 2211 2519 2254 | ACC: -14088 5052 -6452 | GYRO: 113 292 140 | GDP=342.977
FLEX: 2531 2464 2227 2493 2272 | ACC: -14292 5020 -6320 | GYRO: 908 -970 29 | GDP=1328.986
FLEX: 2496 2458 2239 2481 2256 | ACC: -13972 5244 -6264 | GYRO: 335 -297 202 | GDP=491.160
FLEX: 2519 2466 2194 2351 2221 | ACC: -14216 5136 -6096 | GYRO: 958 -301 -62 | GDP=1006.086
FLEX: 2494 2439 2241 2438 2343 | ACC: -13820 5376 -6636 | GYRO: -132 1345 -91 | GDP=1354.522
FLEX: 2535 2490 2226 2510 2327 | ACC: -14188 4824 -6156 | GYRO: 942 46 -355 | GDP=1007.723
FLEX: 2541 2438 2231 2471 2320 | ACC: -13864 5072 -6636 | GYRO: 1104 -227 -178 | GDP=1141.065
