# sentence_label=Where do you live?
# timestamp=1764406470.1206176
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2590 2629 2698 2726 2639 | ACC: -1040 12088 3316 | GYRO: 25491 17485 18978 | GDP=36272.313
FLEX: 2550 2642 2675 2769 2679 | ACC: 2720 13184 -1684 | GYRO: 22524 15856 20513 | GDP=34344.234
FLEX: 2681 2624 2654 2781 2677 | ACC: 6416 10568 -4552 | GYRO: 17873 12575 20952 | GDP=30274.760
FLEX: 2717 2617 2699 2755 2698 | ACC: 11256 12092 -7544 | GYRO: 13769 9817 13401 | GDP=21576.508
FLEX: 2786 2605 2699 2768 2702 | ACC: 10848 12028 -6368 | GYRO: 8112 5643 5152 | GDP=11144.105
FLEX: 2794 2597 2704 2767 2687 | ACC: 11080 11396 -6532 | GYRO: -584 7067 -873 | GDP=7144.625
FLEX: 2809 2558 2682 2762 2678 | ACC: 10272 11312 -4772 | GYRO: -149 376 -5421 | GDP=5436.066
FLEX: 2845 2523 2695 2750 2643 | ACC: 9756 12416 -6588 | GYRO: -5846 4321 -12115 | GDP=14128.693
FLEX: 2800 2477 2677 2747 2677 | ACC: 5956 11172 -2688 | GYRO: -10545 -2509 -15426 | GDP=18853.477
FLEX: 2779 2483 2647 2704 2699 | ACC: 7028 10724 -1932 | GYRO: -13689 -6999 -23669 | GDP=28224.037
FLEX: 2853 2468 2688 2749 2707 | ACC: -116 13152 492 | GYRO: -22192 -4467 -31481 | GDP=38774.895
FLEX: 2820 2495 2723 2703 2643 | ACC: -2940 7368 7504 | GYRO: -24308 -2935 -32768 | GDP=40905.195
FLEX: 2819 2381 2654 2715 2653 | ACC: -4124 6132 6624 | GYRO: -32768 -16745 -32768 | GDP=49273.508
FLEX: 2833 2462 2711 2778 2661 | ACC: -29048 -15292 23740 | GYRO: -32768 10973 -31480 | GDP=46745.469
FLEX: 2903 2501 2783 2714 2640 | ACC: -20224 -5624 16584 | GYRO: 5456 -20993 -3898 | GDP=22037.885
FLEX: 2906 2455 2707 2769 2681 | ACC: -14040 2736 12532 | GYRO: -600 3799 3648 | GDP=5300.972
FLEX: 2855 2509 2753 2769 2697 | ACC: -9732 5164 11844 | GYRO: 5448 -4374 1831 | GDP=7222.544
FLEX: 2814 2463 2656 2839 2633 | ACC: -8956 5124 10120 | GYRO: 1060 1883 222 | GDP=2172.228
FLEX: 2827 2511 2719 2783 2679 | ACC: -11712 4600 11344 | GYRO: 2265 -680 449 | GDP=2407.120
FLEX: 2816 2445 2688 2665 2703 | ACC: -8840 3976 10196 | GYRO: -425 946 845 | GDP=1337.747
FLEX: 2825 2461 2708 2725 2660 | ACC: -10848 3468 11860 | GYRO: 1813 2071 330 | GDP=2772.167
FLEX: 2797 2539 2677 2747 2670 | ACC: -11776 4548 10804 | GYRO: 1338 2822 -152 | GDP=3126.825
FLEX: 2896 2466 2671 2715 2647 | ACC: -11248 4372 11248 | GYRO: 2115 4373 3548 | GDP=6015.368
FLEX: 2834 2459 2717 2703 2705 | ACC: -10256 5100 10176 | GYRO: 3543 1880 1029 | GDP=4140.784
FLEX: 2820 2455 2688 2736 2652 | ACC: -8928 5724 8300 | GYRO: 1910 3950 2403 | GDP=5002.500
FLEX: 2805 2450 2697 2704 2681 | ACC: -8004 4744 8588 | GYRO: -268 -716 -3321 | GDP=3407.862
FLEX: 2800 2463 2667 2727 2661 | ACC: -10604 3812 10816 | GYRO: -717 879 -5065 | GDP=5190.468
FLEX: 2800 2466 2660 2709 2635 | ACC: -14972 860 14572 | GYRO: 1028 2123 -4251 | GDP=4861.575
FLEX: 2769 2480 2684 2693 2624 | ACC: -17856 472 15376 | GYRO: 7660 5218 138 | GDP=9269.421
FLEX: 2787 2470 2643 2721 2659 | ACC: -20156 -76 14872 | GYRO: 19159 -1126 6813 | GDP=20365.465
