# sentence_label=Rest
# timestamp=1764327710.0937104
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2555 2445 2240 2476 2363 | ACC: 4004 -900 16168 | GYRO: 715 103 -132 | GDP=734.342
FLEX: 2538 2439 2257 2411 2371 | ACC: 4088 -864 15992 | GYRO: 729 -136 42 | GDP=742.766
FLEX: 2517 2479 2244 2478 2325 | ACC: 4008 -876 16020 | GYRO: 550 40 182 | GDP=580.710
FLEX: 2591 2463 2259 2495 2361 | ACC: 4220 -952 15912 | GYRO: 636 -76 14 | GDP=640.678
FLEX: 2546 2448 2247 2471 2368 | ACC: 4040 -948 16108 | GYRO: 723 160 -37 | GDP=741.416
FLEX: 2535 2462 2211 2559 2369 | ACC: 3912 -904 16228 | GYRO: 634 -220 -96 | GDP=677.917
FLEX: 2531 2464 2262 2476 2411 | ACC: 4000 -904 16108 | GYRO: 678 83 -67 | GDP=686.340
FLEX: 2544 2454 2250 2483 2381 | ACC: 3864 -924 16208 | GYRO: 689 -12 0 | GDP=689.104
FLEX: 2544 2462 2254 2485 2352 | ACC: 4244 -876 16020 | GYRO: 623 -176 131 | GDP=660.504
FLEX: 2550 2453 2267 2479 2355 | ACC: 4004 -900 16112 | GYRO: 495 -294 106 | GDP=585.403
FLEX: 2545 2469 2240 2474 2382 | ACC: 4128 -972 15944 | GYRO: 647 7 -23 | GDP=647.447
FLEX: 2535 2478 2266 2463 2369 | ACC: 3912 -952 16136 | GYRO: 742 168 -124 | GDP=770.820
FLEX: 2527 2449 2242 2460 2371 | ACC: 4156 -932 16064 | GYRO: 615 -85 -55 | GDP=623.278
FLEX: 2544 2498 2247 2485 2370 | ACC: 4036 -924 16076 | GYRO: 649 -59 -68 | GDP=655.214
FLEX: 2510 2448 2271 2499 2352 | ACC: 3984 -960 16084 | GYRO: 670 -132 3 | GDP=682.886
FLEX: 2537 2459 2269 2480 2363 | ACC: 4040 -844 16200 | GYRO: 609 -60 97 | GDP=619.589
FLEX: 2505 2462 2277 2467 2397 | ACC: 4080 -884 15932 | GYRO: 586 -205 64 | GDP=624.113
FLEX: 2549 2476 2265 2480 2397 | ACC: 4088 -988 16016 | GYRO: 626 214 -32 | GDP=662.341
FLEX: 2544 2458 2233 2480 2397 | ACC: 4008 -968 16220 | GYRO: 676 43 -83 | GDP=682.432
FLEX: 2517 2438 2256 2457 2375 | ACC: 4004 -1036 15992 | GYRO: 614 -57 -35 | GDP=617.633
FLEX: 2525 2431 2253 2442 2353 | ACC: 4152 -936 16004 | GYRO: 595 -95 -124 | GDP=615.163
FLEX: 2544 2468 2240 2502 2371 | ACC: 4076 -960 16044 | GYRO: 715 -30 -42 | GDP=716.861
FLEX: 2538 2474 2249 2499 2345 | ACC: 4100 -820 16112 | GYRO: 629 -62 124 | GDP=644.097
FLEX: 2546 2487 2256 2476 2352 | ACC: 4100 -964 15964 | GYRO: 628 -171 161 | GDP=670.482
