# sentence_label=How are you?
# timestamp=1764326784.9625022
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2701 2697 2655 2788 2604 | ACC: 7468 16212 -3612 | GYRO: 1789 -2403 -895 | GDP=3126.652
FLEX: 2807 2673 2714 2772 2618 | ACC: 6856 13908 -2116 | GYRO: -3562 914 -7856 | GDP=8674.098
FLEX: 2800 2559 2713 2735 2610 | ACC: 4380 14468 -1416 | GYRO: -11724 -4192 -16933 | GDP=21017.885
FLEX: 2847 2473 2736 2731 2598 | ACC: 156 14508 768 | GYRO: -19965 -3347 -25006 | GDP=32173.027
FLEX: 2832 2449 2766 2759 2617 | ACC: -2668 7976 7360 | GYRO: -16917 -1399 -32768 | GDP=36903.711
FLEX: 2864 2449 2748 2739 2642 | ACC: -13604 6652 5936 | GYRO: -29713 -1596 -32768 | GDP=44262.301
FLEX: 2855 2448 2752 2765 2669 | ACC: -24924 -7328 16764 | GYRO: -13587 9923 -17131 | GDP=24011.324
FLEX: 2881 2464 2739 2770 2640 | ACC: -20456 -340 11324 | GYRO: 9513 -15746 -2369 | GDP=18548.473
FLEX: 2871 2450 2751 2757 2615 | ACC: -10752 3328 7848 | GYRO: 554 1943 3638 | GDP=4161.395
FLEX: 2821 2468 2701 2777 2601 | ACC: -12208 6344 9900 | GYRO: 2891 -2560 2894 | GDP=4825.631
FLEX: 2858 2458 2729 2771 2645 | ACC: -9056 6688 8732 | GYRO: 2635 1074 1275 | GDP=3118.064
FLEX: 2849 2421 2736 2736 2608 | ACC: -11348 7180 9032 | GYRO: 510 -14 265 | GDP=574.910
FLEX: 2849 2480 2738 2764 2624 | ACC: -11660 5676 10184 | GYRO: 450 1395 -1089 | GDP=1826.047
FLEX: 2850 2442 2711 2746 2640 | ACC: -11852 6028 9308 | GYRO: 932 457 -656 | GDP=1227.929
FLEX: 2886 2449 2774 2787 2656 | ACC: -12760 5940 9328 | GYRO: 1112 1320 -498 | GDP=1796.371
FLEX: 2859 2436 2727 2761 2625 | ACC: -12540 5988 9096 | GYRO: 666 954 -131 | GDP=1170.826
FLEX: 2871 2463 2736 2782 2648 | ACC: -12672 6160 9196 | GYRO: 929 -9 46 | GDP=930.182
FLEX: 2855 2434 2711 2775 2643 | ACC: -12400 5860 8968 | GYRO: 589 569 231 | GDP=850.907
FLEX: 2880 2439 2723 2768 2599 | ACC: -12408 6028 9084 | GYRO: 1088 -45 313 | GDP=1133.022
FLEX: 2865 2419 2717 2743 2613 | ACC: -12132 6216 8684 | GYRO: 842 133 76 | GDP=855.821
FLEX: 2846 2458 2721 2777 2640 | ACC: -12036 6024 8800 | GYRO: 193 -284 376 | GDP=509.196
FLEX: 2867 2451 2702 2769 2605 | ACC: -11868 5912 9336 | GYRO: 620 12 -123 | GDP=632.197
FLEX: 2877 2437 2746 2783 2611 | ACC: -11912 5996 9048 | GYRO: 511 -510 291 | GDP=778.397
FLEX: 2861 2425 2704 2778 2607 | ACC: -12144 5980 9352 | GYRO: 853 262 -41 | GDP=893.272
FLEX: 2864 2434 2684 2753 2620 | ACC: -12412 6624 8904 | GYRO: 837 269 627 | GDP=1079.842
FLEX: 2844 2430 2704 2768 2637 | ACC: -11756 5520 9124 | GYRO: 848 644 -524 | GDP=1186.767
FLEX: 2850 2435 2722 2795 2644 | ACC: -12284 6584 8644 | GYRO: 1230 -1392 640 | GDP=1964.730
