# sentence_label=Rest
# timestamp=1764327639.4701586
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2499 2471 2245 2430 2473 | ACC: 3408 -816 16068 | GYRO: 611 -40 16 | GDP=612.517
FLEX: 2503 2481 2266 2435 2475 | ACC: 3400 -924 16216 | GYRO: 653 14 19 | GDP=653.426
FLEX: 2502 2458 2234 2417 2453 | ACC: 3324 -816 16180 | GYRO: 636 -67 17 | GDP=639.745
FLEX: 2502 2461 2263 2424 2487 | ACC: 3412 -860 16276 | GYRO: 605 -56 10 | GDP=607.669
FLEX: 2510 2452 2229 2426 2458 | ACC: 3404 -892 16188 | GYRO: 651 -49 25 | GDP=653.320
FLEX: 2506 2502 2259 2439 2468 | ACC: 3472 -836 16244 | GYRO: 650 -48 13 | GDP=651.900
FLEX: 2544 2485 2239 2443 2445 | ACC: 3440 -828 16084 | GYRO: 615 -88 14 | GDP=621.422
FLEX: 2499 2477 2253 2434 2467 | ACC: 3324 -784 16308 | GYRO: 661 -47 1 | GDP=662.670
FLEX: 2498 2474 2259 2423 2405 | ACC: 3436 -884 16176 | GYRO: 612 -57 12 | GDP=614.766
FLEX: 2503 2433 2224 2416 2512 | ACC: 3328 -852 16348 | GYRO: 640 -53 21 | GDP=642.534
FLEX: 2489 2489 2211 2419 2467 | ACC: 3440 -844 16244 | GYRO: 586 2 -13 | GDP=586.148
FLEX: 2494 2503 2229 2425 2449 | ACC: 3444 -872 16276 | GYRO: 633 -98 -23 | GDP=640.954
FLEX: 2495 2447 2240 2414 2450 | ACC: 3272 -888 16128 | GYRO: 631 14 -12 | GDP=631.269
FLEX: 2517 2480 2267 2474 2463 | ACC: 3408 -872 16172 | GYRO: 665 8 4 | GDP=665.060
FLEX: 2499 2464 2240 2416 2481 | ACC: 3352 -912 16180 | GYRO: 661 4 -29 | GDP=661.648
FLEX: 2515 2491 2279 2449 2480 | ACC: 3348 -896 16216 | GYRO: 667 22 20 | GDP=667.662
FLEX: 2506 2443 2226 2389 2459 | ACC: 3296 -920 16332 | GYRO: 653 14 23 | GDP=653.555
FLEX: 2518 2496 2245 2464 2478 | ACC: 3340 -804 16276 | GYRO: 665 -24 -2 | GDP=665.436
FLEX: 2512 2493 2237 2426 2455 | ACC: 3388 -848 16116 | GYRO: 612 -106 6 | GDP=621.141
FLEX: 2533 2480 2256 2427 2475 | ACC: 3384 -860 16200 | GYRO: 686 -32 -8 | GDP=686.793
FLEX: 2496 2458 2250 2407 2461 | ACC: 3376 -872 16212 | GYRO: 665 -88 7 | GDP=670.834
FLEX: 2508 2477 2278 2452 2466 | ACC: 3328 -836 16220 | GYRO: 624 -59 -15 | GDP=626.963
FLEX: 2513 2473 2242 2432 2446 | ACC: 3260 -932 16344 | GYRO: 645 -65 22 | GDP=648.640
FLEX: 2512 2490 2256 2448 2473 | ACC: 3384 -836 16260 | GYRO: 656 -17 24 | GDP=656.659
FLEX: 2503 2475 2238 2448 2468 | ACC: 3276 -844 16264 | GYRO: 648 40 15 | GDP=649.407
FLEX: 2493 2402 2240 2450 2460 | ACC: 3364 -820 16276 | GYRO: 668 -13 -53 | GDP=670.225
FLEX: 2492 2444 2217 2416 2437 | ACC: 3496 -916 16276 | GYRO: 645 -72 -25 | GDP=649.487
FLEX: 2500 2455 2247 2446 2478 | ACC: 3316 -820 16232 | GYRO: 632 -97 -11 | GDP=639.495
FLEX: 2508 2480 2269 2431 2470 | ACC: 3352 -864 16268 | GYRO: 629 -11 6 | GDP=629.125
FLEX: 2518 2471 2224 2426 2480 | ACC: 3404 -840 16240 | GYRO: 645 -5 11 | GDP=645.113
FLEX: 2503 2457 2256 2433 2453 | ACC: 3340 -900 16288 | GYRO: 684 -22 -39 | GDP=685.464
FLEX: 2512 2436 2270 2427 2460 | ACC: 3392 -820 16172 | GYRO: 660 -57 3 | GDP=662.464
FLEX: 2510 2473 2259 2448 2448 | ACC: 3376 -836 16196 | GYRO: 634 4 12 | GDP=634.126
FLEX: 2492 2463 2241 2469 2471 | ACC: 3396 -928 16312 | GYRO: 650 -8 -26 | GDP=650.569
FLEX: 2494 2489 2231 2421 2467 | ACC: 3320 -808 16152 | GYRO: 631 -82 -38 | GDP=637.439
FLEX: 2458 2408 2239 2442 2459 | ACC: 3504 -868 16240 | GYRO: 662 -23 -31 | GDP=663.124
FLEX: 2531 2497 2218 2440 2480 | ACC: 3360 -840 16204 | GYRO: 643 -69 12 | GDP=646.803
FLEX: 2511 2494 2208 2449 2455 | ACC: 3336 -884 16264 | GYRO: 652 60 -2 | GDP=654.758
FLEX: 2529 2487 2269 2434 2473 | ACC: 3400 -896 16176 | GYRO: 633 -11 -28 | GDP=633.714
FLEX: 2494 2429 2196 2451 2475 | ACC: 3340 -896 16204 | GYRO: 638 -22 -10 | GDP=638.458
FLEX: 2496 2485 2233 2425 2448 | ACC: 3332 -872 16240 | GYRO: 621 -24 14 | GDP=621.621
FLEX: 2397 2503 2273 2467 2445 | ACC: 3328 -908 16244 | GYRO: 662 1 7 | GDP=662.038
FLEX: 2512 2495 2225 2466 2448 | ACC: 3456 -852 16320 | GYRO: 646 31 -6 | GDP=646.771
FLEX: 2502 2448 2250 2413 2463 | ACC: 3356 -928 16208 | GYRO: 678 -91 -29 | GDP=684.694
FLEX: 2608 2457 2246 2443 2426 | ACC: 3348 -864 16180 | GYRO: 648 -6 -4 | GDP=648.040
FLEX: 2559 2461 2206 2400 2481 | ACC: 3404 -944 16236 | GYRO: 659 -7 30 | GDP=659.720
FLEX: 2460 2475 2251 2432 2507 | ACC: 3340 -900 16204 | GYRO: 641 -43 -41 | GDP=643.748
FLEX: 2441 2514 2275 2457 2465 | ACC: 3396 -804 16248 | GYRO: 669 23 12 | GDP=669.503
FLEX: 2519 2487 2234 2471 2449 | ACC: 3428 -896 16096 | GYRO: 641 0 19 | GDP=641.282
FLEX: 2527 2471 2267 2416 2483 | ACC: 3444 -896 16228 | GYRO: 603 -26 0 | GDP=603.560
FLEX: 2461 2478 2229 2405 2416 | ACC: 3372 -844 16208 | GYRO: 662 -17 -45 | GDP=663.745
FLEX: 2500 2499 2220 2497 2491 | ACC: 3372 -900 16196 | GYRO: 678 -24 -24 | GDP=678.849
FLEX: 2510 2551 2256 2439 2475 | ACC: 3364 -840 16252 | GYRO: 639 67 11 | GDP=642.597
FLEX: 2482 2436 2255 2439 2411 | ACC: 3340 -852 16208 | GYRO: 705 -27 -40 | GDP=706.650
FLEX: 2488 2491 2201 2394 2317 | ACC: 3388 -908 16328 | GYRO: 641 -14 -17 | GDP=641.378
FLEX: 2480 2496 2225 2373 2485 | ACC: 3372 -920 16208 | GYRO: 630 -2 -7 | GDP=630.042
FLEX: 2503 2527 2246 2447 2416 | ACC: 3364 -856 16248 | GYRO: 676 -29 14 | GDP=676.767
FLEX: 2511 2419 2295 2413 2467 | ACC: 3460 -836 16124 | GYRO: 648 7 -19 | GDP=648.316
FLEX: 2488 2448 2222 2433 2460 | ACC: 3336 -900 16184 | GYRO: 655 -31 -18 | GDP=655.980
FLEX: 2480 2438 2317 2443 2475 | ACC: 3472 -896 16216 | GYRO: 637 -26 -9 | GDP=637.594
FLEX: 2496 2464 2301 2432 2515 | ACC: 3384 -924 16188 | GYRO: 644 10 -2 | GDP=644.081
FLEX: 2539 2518 2103 2478 2467 | ACC: 3432 -864 16324 | GYRO: 653 -5 -11 | GDP=653.112
FLEX: 2505 2530 2256 2442 2471 | ACC: 3460 -940 16268 | GYRO: 665 9 -20 | GDP=665.362
FLEX: 2496 2435 2256 2433 2455 | ACC: 3304 -908 16180 | GYRO: 677 -35 -5 | GDP=677.923
FLEX: 2462 2439 2262 2445 2471 | ACC: 3408 -888 16192 | GYRO: 654 -40 11 | GDP=655.314
FLEX: 2527 2479 2263 2400 2462 | ACC: 3408 -880 16188 | GYRO: 609 -49 -12 | GDP=611.086
FLEX: 2512 2490 2254 2404 2448 | ACC: 3432 -860 16256 | GYRO: 647 -11 -21 | GDP=647.434
FLEX: 2506 2436 2274 2402 2491 | ACC: 3396 -844 16220 | GYRO: 635 -70 0 | GDP=638.847
FLEX: 2531 2459 2271 2448 2480 | ACC: 3372 -888 16220 | GYRO: 640 -23 -27 | GDP=640.982
FLEX: 2500 2474 2285 2417 2438 | ACC: 3384 -916 16184 | GYRO: 653 -68 -8 | GDP=656.580
FLEX: 2491 2485 2256 2460 2449 | ACC: 3464 -884 16228 | GYRO: 628 -60 11 | GDP=630.956
FLEX: 2500 2463 2254 2448 2487 | ACC: 3328 -916 16256 | GYRO: 678 7 -23 | GDP=678.426
FLEX: 2514 2462 2256 2425 2399 | ACC: 3388 -868 16224 | GYRO: 635 -27 -21 | GDP=635.921
FLEX: 2512 2466 2259 2447 2467 | ACC: 3352 -908 16172 | GYRO: 642 -27 -26 | GDP=643.093
FLEX: 2512 2487 2239 2423 2517 | ACC: 3400 -832 16276 | GYRO: 592 -55 11 | GDP=594.651
FLEX: 2512 2454 2251 2441 2464 | ACC: 3352 -920 16268 | GYRO: 629 -33 -6 | GDP=629.894
