# sentence_label=How are you?
# timestamp=1764326771.8284533
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2637 2709 2672 2759 2717 | ACC: -3928 10988 13912 | GYRO: 4291 -2416 665 | GDP=4969.101
FLEX: 2593 2716 2663 2793 2709 | ACC: -6084 12644 16336 | GYRO: 7967 -9410 620 | GDP=12345.266
FLEX: 2525 2736 2684 2851 2781 | ACC: -3244 12664 15308 | GYRO: 9406 -5652 2800 | GDP=11325.102
FLEX: 2478 2737 2647 2849 2730 | ACC: -8772 11956 17008 | GYRO: 10586 -5108 4499 | GDP=12585.550
FLEX: 2437 2733 2657 2827 2749 | ACC: -7168 11232 12016 | GYRO: 16511 -7176 11597 | GDP=21414.912
FLEX: 2411 2737 2617 2831 2758 | ACC: -5388 10936 9960 | GYRO: 12219 -7030 15239 | GDP=20759.383
FLEX: 2374 2694 2640 2832 2757 | ACC: -3596 9656 7356 | GYRO: 13664 -8453 17545 | GDP=23790.443
FLEX: 2338 2708 2613 2834 2720 | ACC: 576 11460 3656 | GYRO: 8307 -4346 18554 | GDP=20788.096
FLEX: 2307 2719 2634 2875 2756 | ACC: 1172 8144 5532 | GYRO: 8109 -6855 23081 | GDP=25406.289
FLEX: 2271 2741 2626 2866 2750 | ACC: 5760 9632 3564 | GYRO: 4074 2760 21744 | GDP=22293.869
FLEX: 2273 2730 2613 2778 2736 | ACC: 5708 7744 6632 | GYRO: 1046 3519 21406 | GDP=21718.525
FLEX: 2235 2704 2619 2864 2730 | ACC: 9224 7388 6276 | GYRO: 62 6695 21550 | GDP=22566.111
FLEX: 2265 2748 2559 2881 2762 | ACC: 14672 6864 7080 | GYRO: 1384 10688 15215 | GDP=18645.242
FLEX: 2234 2724 2605 2858 2722 | ACC: 14940 5552 9548 | GYRO: 389 11350 12881 | GDP=17172.477
FLEX: 2282 2754 2612 2901 2741 | ACC: 28652 4628 1988 | GYRO: -4979 1256 2304 | GDP=5628.178
FLEX: 2247 2726 2603 2834 2739 | ACC: 872 7632 15752 | GYRO: 402 12236 -6596 | GDP=13906.420
FLEX: 2271 2738 2619 2802 2726 | ACC: 12900 7600 11572 | GYRO: 67 -622 -1074 | GDP=1242.920
FLEX: 2235 2715 2598 2831 2718 | ACC: 15164 7784 11916 | GYRO: 2527 -402 -3028 | GDP=3964.356
FLEX: 2249 2724 2623 2883 2783 | ACC: 18480 9124 11468 | GYRO: 3482 -5068 -9086 | GDP=10971.068
FLEX: 2288 2740 2602 2835 2710 | ACC: 13616 9448 14400 | GYRO: 9802 3330 -14516 | GDP=17829.256
FLEX: 2258 2723 2627 2819 2721 | ACC: 8520 10208 11548 | GYRO: 14138 -2152 -13626 | GDP=19753.025
FLEX: 2238 2719 2597 2799 2723 | ACC: 7368 10424 5744 | GYRO: 17659 8037 -16499 | GDP=25468.621
FLEX: 2279 2733 2624 2861 2725 | ACC: 3764 11840 3100 | GYRO: 15198 7655 -13693 | GDP=21842.080
FLEX: 2263 2717 2645 2830 2675 | ACC: 4900 10448 -584 | GYRO: 14083 9302 -17295 | GDP=24165.576
FLEX: 2292 2736 2640 2823 2766 | ACC: 5324 12348 -1232 | GYRO: 6767 7285 -12514 | GDP=15983.232
FLEX: 2282 2714 2583 2860 2701 | ACC: 3804 14644 -2828 | GYRO: 4369 5342 -17746 | GDP=19040.631
FLEX: 2324 2737 2614 2832 2720 | ACC: 3608 10636 3852 | GYRO: -1268 6506 -17272 | GDP=18500.213
FLEX: 2294 2662 2608 2831 2671 | ACC: -108 14960 -1088 | GYRO: -3612 2697 -25423 | GDP=25819.553
FLEX: 2288 2736 2614 2825 2704 | ACC: 756 8340 5436 | GYRO: -6955 1022 -28655 | GDP=29504.670
FLEX: 2307 2733 2604 2865 2682 | ACC: -7756 14524 344 | GYRO: -14403 -137 -32768 | GDP=35793.953
FLEX: 2299 2734 2600 2862 2739 | ACC: -8036 2068 8260 | GYRO: -21432 2505 -32768 | GDP=39234.520
FLEX: 2277 2719 2559 2805 2687 | ACC: -23116 -5616 14884 | GYRO: -14065 1963 -22229 | GDP=26378.135
FLEX: 2275 2800 2623 2831 2661 | ACC: -24928 -1692 11676 | GYRO: 1983 -4437 -9182 | GDP=10388.858
FLEX: 2313 2726 2529 2854 2704 | ACC: -17544 132 8144 | GYRO: -32 2503 -1305 | GDP=2822.952
FLEX: 2372 2736 2620 2815 2670 | ACC: -16788 2728 9220 | GYRO: 2854 -2860 1380 | GDP=4269.580
FLEX: 2322 2736 2593 2839 2667 | ACC: -12328 4120 7228 | GYRO: 614 798 1649 | GDP=1932.098
FLEX: 2352 2736 2611 2839 2698 | ACC: -14768 3692 9444 | GYRO: 766 330 2098 | GDP=2257.711
FLEX: 2346 2719 2559 2822 2669 | ACC: -17372 3012 8244 | GYRO: 2290 2928 5583 | GDP=6707.248
FLEX: 2398 2789 2606 2830 2690 | ACC: -20972 756 8324 | GYRO: 182 19464 17838 | GDP=26402.172
FLEX: 2444 2715 2598 2811 2651 | ACC: -25148 5024 10520 | GYRO: 3735 4598 22908 | GDP=23661.535
FLEX: 2487 2729 2613 2822 2619 | ACC: -16588 4856 7944 | GYRO: 8755 -11555 32767 | GDP=35830.773
FLEX: 2499 2749 2643 2785 2637 | ACC: -8448 8172 5080 | GYRO: 10048 -11885 32767 | GDP=36275.223
FLEX: 2595 2739 2624 2753 2620 | ACC: 2144 10140 1620 | GYRO: 13655 -13097 30325 | GDP=35743.477
