# sentence_label=Where do you live?
# timestamp=1764406577.2130914
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2587 2675 2665 2759 2643 | ACC: 396 13948 5420 | GYRO: 24707 14751 9212 | GDP=30214.049
FLEX: 2591 2684 2665 2759 2655 | ACC: 1252 12404 368 | GYRO: 28592 20745 15737 | GDP=38671.832
FLEX: 2599 2673 2703 2781 2640 | ACC: 5364 10828 -3960 | GYRO: 25553 17941 18487 | GDP=36285.047
FLEX: 2652 2672 2721 2800 2669 | ACC: 10300 9864 -8808 | GYRO: 19721 16686 17952 | GDP=31458.143
FLEX: 2698 2687 2679 2751 2665 | ACC: 15068 7396 -10596 | GYRO: 12161 8540 8547 | GDP=17142.717
FLEX: 2729 2657 2711 2797 2665 | ACC: 15888 8244 -12404 | GYRO: 4292 5588 866 | GDP=7099.082
FLEX: 2747 2603 2674 2763 2655 | ACC: 15088 6672 -10112 | GYRO: -2968 2927 -6200 | GDP=7471.034
FLEX: 2746 2559 2642 2769 2656 | ACC: 14044 8748 -10652 | GYRO: -7925 699 -15088 | GDP=17057.021
FLEX: 2718 2512 2665 2746 2635 | ACC: 11836 9892 -7300 | GYRO: -18538 -4029 -21768 | GDP=28874.488
FLEX: 2757 2505 2661 2787 2614 | ACC: 11140 8844 -4384 | GYRO: -26892 -7544 -29762 | GDP=40815.051
FLEX: 2736 2493 2671 2745 2626 | ACC: 8172 7824 -392 | GYRO: -32768 -4194 -32768 | GDP=46530.348
FLEX: 2773 2498 2633 2755 2638 | ACC: 2068 800 6300 | GYRO: -32768 -1661 -32768 | GDP=46370.707
FLEX: 2751 2491 2672 2719 2608 | ACC: -16876 -11428 9660 | GYRO: -32768 5228 -32768 | GDP=46634.918
FLEX: 2787 2494 2711 2758 2589 | ACC: -32768 -24220 30240 | GYRO: -102 1625 -9163 | GDP=9306.535
FLEX: 2768 2491 2695 2746 2592 | ACC: -13456 1428 7976 | GYRO: 10454 -7435 5006 | GDP=13770.453
FLEX: 2759 2491 2724 2754 2613 | ACC: -12364 5128 10272 | GYRO: 745 3143 3258 | GDP=4587.814
FLEX: 2732 2487 2693 2721 2583 | ACC: -9508 5252 9876 | GYRO: 2650 -742 1650 | GDP=3208.670
FLEX: 2736 2483 2752 2734 2619 | ACC: -14732 -340 12660 | GYRO: 3230 3531 5915 | GDP=7608.422
FLEX: 2710 2481 2640 2743 2622 | ACC: -10996 -884 10624 | GYRO: 8587 -6489 8839 | GDP=13927.369
FLEX: 2736 2512 2613 2751 2550 | ACC: -11472 -176 12164 | GYRO: 10596 -71 19283 | GDP=22002.598
FLEX: 2683 2514 2559 2743 2619 | ACC: -7580 5348 13752 | GYRO: 12780 -10158 14188 | GDP=21628.979
FLEX: 2661 2587 2704 2704 2624 | ACC: -5116 7100 15808 | GYRO: 27531 -15824 9511 | GDP=33148.363
FLEX: 2608 2619 2559 2747 2624 | ACC: -108 13444 7748 | GYRO: 32767 -8948 -434 | GDP=33969.566
FLEX: 2585 2645 2590 2729 2668 | ACC: 196 11376 -928 | GYRO: 27020 15495 -20786 | GDP=37446.406
FLEX: 2530 2615 2537 2723 2683 | ACC: -13464 13764 -13172 | GYRO: 16703 20148 -26829 | GDP=37479.691
FLEX: 2493 2615 2416 2737 2698 | ACC: -28616 12388 -18752 | GYRO: 164 9487 -7328 | GDP=11988.730
FLEX: 2475 2559 2432 2730 2689 | ACC: -21700 11004 -18160 | GYRO: -19861 -11568 9780 | GDP=24978.518
FLEX: 2431 2605 2383 2747 2665 | ACC: -27364 3236 3152 | GYRO: -16898 -3057 24983 | GDP=30315.639
FLEX: 2455 2608 2438 2737 2689 | ACC: 1484 1048 7348 | GYRO: -19098 -25200 32767 | GDP=45535.152
FLEX: 2435 2559 2453 2739 2704 | ACC: 19020 15800 22244 | GYRO: -853 -14110 27468 | GDP=30891.920
FLEX: 2457 2559 2437 2710 2704 | ACC: 32767 22096 8072 | GYRO: 9361 -4010 -4232 | GDP=11028.066
FLEX: 2431 2559 2442 2753 2692 | ACC: 12508 13080 7660 | GYRO: 2516 5324 -28334 | GDP=28939.434
FLEX: 2448 2559 2416 2731 2690 | ACC: -9784 3204 5520 | GYRO: 8686 13336 -32768 | GDP=36428.523
FLEX: 2440 2559 2445 2708 2682 | ACC: -26452 3808 -3748 | GYRO: 13198 2854 -22837 | GDP=26530.379
FLEX: 2446 2559 2418 2747 2685 | ACC: -32440 6428 -10652 | GYRO: 2432 2909 -4244 | GDP=5691.084
FLEX: 2482 2559 2431 2731 2639 | ACC: -23452 4800 -9080 | GYRO: -10644 4161 10423 | GDP=15467.630
FLEX: 2447 2559 2447 2717 2627 | ACC: -16148 6056 4140 | GYRO: -16978 -2184 23853 | GDP=29359.631
FLEX: 2509 2643 2642 2755 2653 | ACC: 2224 16800 15864 | GYRO: -12907 -30314 30941 | GDP=45198.172
FLEX: 2537 2607 2603 2736 2674 | ACC: 22392 18176 6612 | GYRO: 4609 -28216 4086 | GDP=28880.459
FLEX: 2608 2488 2605 2642 2597 | ACC: 11280 16012 8096 | GYRO: -1866 -16628 -11399 | GDP=20246.223
