# sentence_label=How can I help you?
# timestamp=1764327558.8686414
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2559 2519 2256 2553 2416 | ACC: 652 6104 15448 | GYRO: 636 120 -23 | GDP=647.630
FLEX: 2559 2549 2278 2587 2382 | ACC: 336 6172 15376 | GYRO: 624 74 -113 | GDP=638.452
FLEX: 2598 2544 2250 2559 2403 | ACC: 688 6128 15332 | GYRO: 517 -209 -102 | GDP=566.899
FLEX: 2587 2559 2298 2581 2410 | ACC: 892 6120 15316 | GYRO: 537 164 18 | GDP=561.773
FLEX: 2549 2538 2308 2559 2395 | ACC: 796 6260 15252 | GYRO: 427 648 -168 | GDP=794.013
FLEX: 2605 2557 2287 2559 2407 | ACC: 788 6140 15284 | GYRO: 258 952 -221 | GDP=1010.796
FLEX: 2557 2544 2288 2613 2417 | ACC: 300 5812 15340 | GYRO: 256 1392 -158 | GDP=1424.136
FLEX: 2559 2559 2292 2559 2416 | ACC: 696 6172 15272 | GYRO: 43 765 -69 | GDP=769.308
FLEX: 2559 2539 2261 2551 2421 | ACC: 2108 6436 15232 | GYRO: -873 3431 -927 | GDP=3659.675
FLEX: 2587 2553 2297 2591 2457 | ACC: 1464 6300 15448 | GYRO: -1635 9858 -2828 | GDP=10385.132
FLEX: 2554 2544 2330 2591 2526 | ACC: 1708 6088 15500 | GYRO: 2099 15884 -3790 | GDP=16464.244
FLEX: 2559 2608 2349 2603 2589 | ACC: 632 7088 12948 | GYRO: 4827 23656 -7652 | GDP=25327.047
FLEX: 2559 2679 2400 2646 2549 | ACC: -6776 7504 9108 | GYRO: 384 32767 -10613 | GDP=34445.023
FLEX: 2506 2772 2535 2750 2667 | ACC: -21632 5040 10284 | GYRO: -1421 32767 -7683 | GDP=33685.664
FLEX: 2500 2800 2613 2767 2737 | ACC: -28780 2768 1964 | GYRO: 617 32767 3915 | GDP=33005.820
