# sentence_label=Do you want help?
# timestamp=1764407290.1917267
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2656 2686 2559 2800 2635 | ACC: 276 6848 15232 | GYRO: 672 111 361 | GDP=770.861
FLEX: 2644 2672 2559 2772 2623 | ACC: 404 6776 15104 | GYRO: 676 -20 165 | GDP=696.133
FLEX: 2640 2688 2559 2737 2634 | ACC: 248 6944 15108 | P=1248.328
FLEX: 2589 2676 2686 2829 2667 | ACC: -8632 7244 23252 | GYRO: 13261 12616 4272 | GDP=18795.412
FLEX: 2610 2690 2668 2817 2693 | ACC: -8992 11332 19224 | GYRO: 22206 12900 9996 | GDP=27557.873
FLEX: 2559 2651 2734 2832 2666 | ACC: -6952 12912 14476 | GYRO: 24861 7322 17183 | GDP=31095.604
FLEX: 2640 2700 2752 2823 2677 | ACC: -996 12244 8568 | GYRO: 25756 4826 21444 | GDP=33860.109
FLEX: 2687 2662 2752 2812 2670 | ACC: 2620 12016 2888 | GYRO: 22035 8814 19308 | GDP=30594.553
FLEX: 2723 2689 2769 2838 2695 | ACC: 4332 10672 656 | GYRO: 18454 9326 17225 | GDP=26911.430
FLEX: 2735 2672 2749 2763 2701 | ACC: 7340 11196 -2612 | GYRO: 17561 7501 16228 | GDP=25059.963
FLEX: 2736 2688 2691 2783 2739 | ACC: 9408 10368 -3944 | GYRO: 12704 3416 9718 | GDP=16355.433
FLEX: 2736 2675 2731 2797 2669 | ACC: 12896 11584 -6764 | GYRO: 9161 1445 2424 | GDP=9585.809
FLEX: 2735 2674 2668 2811 2704 | ACC: 12652 10848 -6216 | GYRO: 3001 968 -5207 | GDP=6087.354
FLEX: 2736 2624 2749 2773 2626 | ACC: 13376 12468 -7304 | GYRO: -2305 -832 -14098 | GDP=14309.397
FLEX: 2752 2539 2736 2782 2634 | ACC: 10616 12432 -5368 | GYRO: -14437 -5203 -23571 | GDP=28126.326
FLEX: 2732 2498 2709 2791 2640 | ACC: 8080 8060 548 | GYRO: -16962 -10086 -32768 | GDP=38251.520
FLEX: 2751 2491 2743 2790 2608 | ACC: 976 7416 3468 | GYRO: -18957 -7592 -32768 | GDP=38610.207
FLEX: 2763 2471 2754 2778 2623 | ACC: -5676 -4312 6464 | GYRO: -32768 -2096 -32768 | GDP=46388.328
FLEX: 2779 2490 2789 2763 2623 | ACC: -32768 -10056 19328 | GYRO: -5977 12057 -17542 | GDP=22109.219
FLEX: 2747 2463 2765 2793 2619 | ACC: -19064 -4684 7560 | GYRO: 6004 -15675 -1081 | GDP=16820.293
FLEX: 2752 2482 2771 2768 2624 | ACC: -17976 3744 7176 | GYRO: -1177 4065 3916 | GDP=5765.814
FLEX: 2719 2470 2751 2779 2639 | ACC: -12320 1376 7612 | GYRO: 2778 3926 5549 | GDP=7343.171
FLEX: 2757 2522 2735 2778 2630 | ACC: -8752 2900 4608 | GYRO: 3064 10533 7005 | GDP=13015.460
FLEX: 2717 2480 2710 2794 2604 | ACC: -11476 5368 4684 | GYRO: 4073 23654 4018 | GDP=24336.092
FLEX: 2686 2487 2686 2782 2635 | ACC: -13188 10164 -2716 | GYRO: -10 32767 3525 | GDP=32956.063
FLEX: 2658 2506 2669 2789 2627 | ACC: -25588 11452 -1600 | GYRO: -1653 20499 3951 | GDP=20941.629
FLEX: 2669 2557 2665 2758 2557 | ACC: -13680 9664 -5104 | GYRO: -693 16356 5402 | GDP=17238.928
FLEX: 2631 2538 2694 2759 2610 | ACC: -24688 13084 -6528 | GYRO: -2722 11089 5401 | GDP=12631.152
FLEX: 2677 2672 2693 2750 2638 | ACC: -17244 8516 -9816 | GYRO: -13581 -9846 17870 | GDP=24509.676
FLEX: 2657 2670 2682 2736 2658 | ACC: -14540 11732 -10748 | GYRO: -18932 -8522 18897 | GDP=28073.863
FLEX: 2673 2768 2583 2736 2617 | ACC: -7708 8788 -8108 | GYRO: -25241 -5701 20249 | GDP=32857.746
FLEX: 2598 2742 2631 2704 2650 | ACC: -3416 9296 -4656 | GYRO: -30164 4244 17747 | GDP=35253.855
FLEX: 2638 2783 2615 2852 2654 | ACC: 732 6824 1512 | GYRO: -32768 4241 14537 | GDP=36097.816
FLEX: 2645 2757 2661 2802 2688 | ACC: -3780 3692 11188 | GYRO: -32768 7814 8138 | GDP=34655.844
FLEX: 2654 2759 2691 2774 2662 | ACC: -472 2752 14596 | GYRO: -21384 4467 528 | GDP=21851.963
FLEX: 2675 2727 2689 2796 2799 | ACC: -4664 2872 17816 | GYRO: -10277 6443 -3377 | GDP=12590.993
FLEX: 2704 2723 2698 2829 2727 | ACC: 5136 2328 9376 | GYRO: 2415 8202 -10888 | GDP=13843.900
FLEX: 2749 2735 2716 2827 2662 | ACC: -8704 5952 11612 | GYRO: 8310 11660 -8202 | GDP=16501.045
FLEX: 2767 2795 2771 2855 2617 | ACC: -13044 11172 10424 | GYRO: 6055 3255 -2743 | GDP=7401.493
FLEX: 2755 2736 2646 2822 2657 | ACC: -11280 10072 10444 | GYRO: 1651 3300 -2414 | GDP=4409.444
FLEX: 2791 2705 2747 2841 2623 | ACC: -11092 9808 9948 | GYRO: 2853 2197 -513 | GDP=3637.250
FLEX: 2763 2783 2715 2822 2639 | ACC: -8180 9552 8484 | GYRO: 1736 -1477 1101 | GDP=2531.289
FLEX: 2723 2705 2701 2795 2628 | ACC: -5536 7248 9092 | GYRO: 4029 1809 -494 | GDP=4444.025
FLEX: 2717 2736 2703 2829 2671 | ACC: -7116 6256 7340 | GYRO: 9930 4126 -1572 | GDP=10867.381
FLEX: 2688 2735 2688 2775 2672 | ACC: -7504 8812 9476 | GYRO: 10373 4328 -3329 | GDP=11722.327
FLEX: 2681 2751 2655 2798 2680 | ACC: -15048 9376 11804 | GYRO: 15537 11544 -4885 | GDP=19963.104
FLEX: 2637 2770 2647 2795 2682 | ACC: -14160 9988 15768 | GYRO: 23438 2411 4008 | GDP=23900.143
FLEX: 2646 2737 2662 2827 2610 | ACC: -9120 14100 9120 | GYRO: 32767 7139 4181 | GDP=33795.301
FLEX: 2650 2713 2612 2800 2603 | ACC: -6280 12592 -860 | GYRO: 32767 12048 626 | GDP=34917.367
FLEX: 2635 2701 2526 2762 2624 | ACC: -7368 15888 -10064 | GYRO: 26511 16936 -3889 | GDP=31698.354
FLEX: 2625 2645 2491 2673 2533 | ACC: -11260 11896 -10852 | GYRO: 18461 12798 -2035 | GDP=22555.232
FLEX: 2614 2670 2437 2704 2519 | ACC: -7824 7412 -13600 | GYRO: 13711 2607 545 | GDP=13967.283
FLEX: 2618 2677 2430 2667 2471 | ACC: -7896 3536 -13996 | GYRO: 9185 30 1835 | GDP=9366.555
FLEX: 2619 2704 2421 2677 2491 | ACC: -8500 1460 -15308 | GYRO: 5778 5782 60 | GDP=8174.375
FLEX: 2611 2704 2423 2659 2464 | ACC: -9696 -1092 -14452 | GYRO: -405 -2431 1469 | GDP=2869.102
FLEX: 2609 2704 2462 2634 2463 | ACC: -8032 -2896 -13040 | GYRO: -8071 -4266 1884 | GDP=9321.440
FLEX: 2618 2704 2453 2643 2474 | ACC: -4128 -2280 -9908 | GYRO: -10761 -5776 1228 | GDP=12274.741
FLEX: 2629 2701 2486 2683 2507 | ACC: -4336 7616 -4492 | GYRO: -4867 3704 -3055 | GDP=6836.690
FLEX: 2610 2721 2487 2665 2538 | ACC: -8284 24572 -5380 | GYRO: 1058 829 -6897 | GDP=7026.750
FLEX: 2640 2729 2512 2687 2557 | ACC: -11072 22232 -10576 | GYRO: 3505 5967 -9715 | GDP=11927.755
FLEX: 2615 2707 2527 2691 2513 | ACC: -19072 16300 -9688 | GYRO: 2350 3174 -4615 | GDP=6074.125
FLEX: 2638 2736 2512 2685 2541 | ACC: -16304 9632 -12264 | GYRO: 74 -3918 1873 | GDP=4343.309
FLEX: 2613 2707 2550 2689 2506 | ACC: -18956 9828 -11376 | GYRO: -2838 -7055 5545 | GDP=9411.392
FLEX: 2625 2688 2559 2737 2559 | ACC: -20120 9900 -14320 | GYRO: -7602 -19907 18907 | GDP=28487.781
FLEX: 2595 2699 2598 2764 2585 | ACC: -21092 8940 -7520 | GYRO: -9444 -32768 27954 | GDP=44094.863
