# sentence_label=Do you want help?
# timestamp=1764407303.9013636
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2603 2681 2730 2744 2667 | ACC: 6568 13864 -3516 | GYRO: 15957 4694 10621 | GDP=19734.871
FLEX: 2686 2671 2704 2723 2612 | ACC: 10112 12712 -5088 | GYRO: 10265 3184 8577 | GDP=13750.382
FLEX: 2676 2641 2672 2758 2635 | ACC: 12944 12508 -6888 | GYRO: 7550 1135 697 | GDP=7666.585
FLEX: 2718 2623 2675 2749 2669 | ACC: 12948 13876 -8252 | GYRO: -2793 1176 -9606 | GDP=10072.689
FLEX: 2722 2543 2655 2746 2605 | ACC: 8420 12152 -4024 | GYRO: -11528 4167 -16817 | GDP=20810.338
FLEX: 2778 2421 2635 2770 2650 | ACC: 9104 9988 -1332 | GYRO: -18509 -2399 -27332 | GDP=33096.473
FLEX: 2700 2471 2620 2765 2608 | ACC: 7680 5508 3280 | GYRO: -17434 -5874 -32768 | GDP=37579.117
FLEX: 2761 2495 2631 2766 2622 | ACC: 196 -528 3844 | GYRO: -27820 -6225 -32768 | GDP=43433.223
FLEX: 2729 2483 2642 2763 2559 | ACC: -32768 -18200 16024 | GYRO: -25205 26758 -32768 | GDP=49244.539
FLEX: 2733 2498 2710 2736 2601 | ACC: -32312 -9488 11004 | GYRO: 4434 -16210 -573 | GDP=16815.254
FLEX: 2707 2499 2619 2747 2620 | ACC: -19320 2836 3884 | GYRO: -419 6829 9210 | GDP=11473.226
FLEX: 2688 2513 2606 2726 2559 | ACC: -19352 2056 5640 | GYRO: -6977 5786 16454 | GDP=18785.379
FLEX: 2658 2543 2631 2739 2559 | ACC: -20968 5840 5948 | GYRO: -4455 2595 23615 | GDP=24171.250
FLEX: 2661 2698 2626 2751 2589 | ACC: -19084 9076 2344 | GYRO: -11053 319 32767 | GDP=34582.465
FLEX: 2674 2733 2604 2738 2592 | ACC: -16500 11140 -2392 | GYRO: -19310 9479 32767 | GDP=39196.988
FLEX: 2647 2754 2603 2689 2613 | ACC: -9308 8384 2852 | GYRO: -32768 4285 32767 | GDP=46537.938
FLEX: 2630 2717 2610 2767 2640 | ACC: 4404 7320 8136 | GYRO: -23242 9880 19942 | GDP=32179.006
FLEX: 2613 2707 2639 2786 2692 | ACC: 1884 5020 14728 | GYRO: -13109 15020 9502 | GDP=22084.707
FLEX: 2642 2700 2679 2815 2692 | ACC: 3108 1368 17160 | GYRO: 2816 5310 -2301 | GDP=6435.880
FLEX: 2657 2720 2686 2839 2722 | ACC: -7824 2000 18784 | GYRO: 15634 -8563 -17257 | GDP=24810.299
FLEX: 2642 2742 2686 2832 2679 | ACC: -21248 12928 19772 | GYRO: 32767 -20242 -27747 | GDP=47469.055
FLEX: 2704 2751 2673 2814 2691 | ACC: 1348 8064 7768 | GYRO: 32767 -32003 -17119 | GDP=48897.121
FLEX: 2723 2753 2669 2818 2675 | ACC: -9004 24292 -8548 | GYRO: 1439 26556 -1015 | GDP=26614.320
FLEX: 2717 2758 2663 2787 2649 | ACC: -10416 22588 2272 | GYRO: -31923 3715 31701 | GDP=45142.359
FLEX: 2642 2751 2645 2861 2703 | ACC: 14924 7156 10772 | GYRO: -31471 13886 18864 | GDP=39231.305
FLEX: 2661 2774 2643 2816 2670 | ACC: -7832 5552 14128 | GYRO: -20662 28834 3405 | GDP=35635.820
FLEX: 2672 2790 2628 2809 2651 | ACC: -7572 948 15836 | GYRO: 18404 -7627 -6499 | GDP=20955.078
FLEX: 2666 2770 2657 2814 2585 | ACC: -16980 2744 5604 | GYRO: 32767 -26862 -17698 | GDP=45918.000
FLEX: 2681 2754 2624 2815 2656 | ACC: -7324 11292 2640 | GYRO: 21585 -32768 -9546 | GDP=40382.918
FLEX: 2673 2770 2630 2798 2638 | ACC: -3576 15424 3340 | GYRO: 12862 20553 -17020 | GDP=29623.256
FLEX: 2667 2754 2631 2781 2654 | ACC: -9884 19568 3872 | GYRO: -8326 4308 10235 | GDP=13879.351
