# sentence_label=What time is it?
# timestamp=1764327822.696734
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2602 2605 2768 2787 2735 | ACC: -5004 11248 10120 | GYRO: 8149 -3701 10995 | GDP=14177.223
FLEX: 2672 2559 2832 2818 2739 | ACC: -1532 11588 9368 | GYRO: 7891 -580 12293 | GDP=14619.238
FLEX: 2755 2588 2811 2807 2744 | ACC: -444 11620 7364 | GYRO: 5837 -4144 12738 | GDP=14611.638
FLEX: 2781 2611 2842 2823 2723 | ACC: 2140 12276 5124 | GYRO: 889 -3368 11539 | GDP=12053.310
FLEX: 2819 2559 2835 2814 2703 | ACC: 2952 11212 5096 | GYRO: -2685 -5048 11687 | GDP=13010.669
FLEX: 2832 2530 2827 2802 2723 | ACC: 5212 10848 4552 | GYRO: -7358 -2505 10669 | GDP=13200.104
FLEX: 2831 2531 2799 2811 2729 | ACC: 6512 9388 7040 | GYRO: -8435 -5225 8481 | GDP=13052.862
FLEX: 2832 2538 2827 2816 2745 | ACC: 9360 8052 8848 | GYRO: -8573 -5686 5573 | GDP=11699.798
FLEX: 2831 2559 2773 2815 2731 | ACC: 8192 8828 11112 | GYRO: -7081 -4050 2791 | GDP=8621.644
FLEX: 2854 2543 2782 2796 2714 | ACC: 8780 7956 12156 | GYRO: -4705 -3733 1277 | GDP=6140.280
FLEX: 2832 2527 2797 2801 2730 | ACC: 6568 8852 12228 | GYRO: -4930 -3567 1329 | GDP=6228.533
FLEX: 2832 2559 2800 2821 2731 | ACC: 7752 8716 11892 | GYRO: -10592 -6024 2214 | GDP=12384.701
FLEX: 2830 2547 2787 2803 2685 | ACC: 8992 7612 20224 | GYRO: 4166 8621 -787 | GDP=9607.110
FLEX: 2828 2559 2797 2785 2734 | ACC: 9904 6748 14020 | GYRO: 4426 -2542 -1138 | GDP=5229.368
FLEX: 2831 2500 2759 2768 2704 | ACC: 6400 9708 10660 | GYRO: 7621 2806 -2527 | GDP=8505.234
FLEX: 2811 2559 2798 2779 2741 | ACC: 6128 9840 7592 | GYRO: 3033 -910 -686 | GDP=3240.029
FLEX: 2796 2545 2757 2798 2705 | ACC: 5120 11124 5384 | GYRO: -5765 -1110 3238 | GDP=6704.623
FLEX: 2818 2544 2773 2782 2692 | ACC: 6728 6040 11436 | GYRO: -14735 -6646 7073 | GDP=17644.174
FLEX: 2801 2531 2738 2731 2704 | ACC: 6028 7848 18424 | GYRO: 4793 -3970 -943 | GDP=6294.680
FLEX: 2803 2559 2753 2754 2710 | ACC: 9664 6528 12972 | GYRO: 9441 3082 -4330 | GDP=10834.210
FLEX: 2799 2545 2746 2705 2704 | ACC: 5520 10752 8700 | GYRO: 5851 816 -2021 | GDP=6243.756
FLEX: 2815 2559 2769 2742 2741 | ACC: 5060 12236 5456 | GYRO: -4006 -1343 1276 | GDP=4413.600
FLEX: 2805 2559 2752 2746 2720 | ACC: 6224 10428 6260 | GYRO: -21421 -4815 6395 | GDP=22867.871
FLEX: 2797 2559 2741 2746 2745 | ACC: 7128 5576 20780 | GYRO: 5944 2370 85 | GDP=6399.630
FLEX: 2773 2559 2694 2739 2705 | ACC: 10952 5912 11216 | GYRO: 10500 2989 -4776 | GDP=11916.137
FLEX: 2815 2539 2741 2752 2710 | ACC: 2772 11260 8568 | GYRO: 2479 2120 -920 | GDP=3389.136
FLEX: 2753 2517 2704 2738 2693 | ACC: 5880 11072 5324 | GYRO: -12715 -2863 3993 | GDP=13631.289
FLEX: 2787 2559 2704 2776 2771 | ACC: 15676 1680 19876 | GYRO: -2305 7194 1504 | GDP=7702.511
FLEX: 2771 2555 2701 2770 2690 | ACC: 11996 4724 11732 | GYRO: 8267 -5565 0 | GDP=9965.566
FLEX: 2795 2531 2714 2785 2709 | ACC: 7496 8420 8192 | GYRO: 14923 3445 -5358 | GDP=16225.662
