# sentence_label=Do you want help?
# timestamp=1764407252.6891484
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2630 2559 2228 2507 2381 | ACC: 2412 3528 16528 | GYRO: 3065 502 -35 | GDP=3106.035
FLEX: 2656 2602 2183 2559 2390 | ACC: 2000 3640 16288 | GYRO: 5180 2231 -193 | GDP=5643.315
FLEX: 2629 2639 2277 2582 2384 | ACC: 1808 3528 | GYRO: 8186 8490 -1912 | GDP=11947.654
FLEX: 2621 2754 2718 2780 2687 | ACC: -2116 11892 12872 | GYRO: 20637 3384 11734 | GDP=23979.658
FLEX: 2559 2743 2731 2830 2720 | ACC: -188 12872 8920 | GYRO: 21181 4868 14799 | GDP=26293.395
FLEX: 2615 2717 2763 2821 2747 | ACC: 2380 12896 5648 | GYRO: 21803 7016 16100 | GDP=27996.520
FLEX: 2586 2704 2761 2826 2737 | ACC: 4612 11780 3408 | GYRO: 22037 7510 15963 | GDP=28228.475
FLEX: 2559 2667 2800 2881 2802 | ACC: 7124 12488 -1068 | GYRO: 22595 6345 13729 | GDP=27189.676
FLEX: 2602 2704 2781 2859 2791 | ACC: 9208 12404 -3376 | GYRO: 16086 3653 8925 | GDP=18755.250
FLEX: 2663 2663 2807 2816 2763 | ACC: 10040 13308 -5400 | GYRO: 12755 4009 4642 | GDP=14153.102
FLEX: 2679 2678 2772 2813 2766 | ACC: 10364 11124 -5316 | GYRO: 8841 1951 1948 | GDP=9260.906
FLEX: 2704 2701 2715 2818 2733 | ACC: 13244 12296 -8708 | GYRO: 6399 2792 -4054 | GDP=8073.251
FLEX: 2731 2701 2756 2735 2706 | ACC: 12816 11668 -8192 | GYRO: -656 1052 -11115 | GDP=11183.929
FLEX: 2766 2702 2797 2856 2743 | ACC: 11580 11856 -7152 | GYRO: -5943 5312 -19012 | GDP=20615.352
FLEX: 2750 2614 2765 2754 2706 | ACC: 10044 13540 -7320 | GYRO: -17674 7948 -31405 | GDP=36902.777
FLEX: 2768 2529 2687 2814 2694 | ACC: 4152 7912 -56 | GYRO: -27164 10377 -32768 | GDP=43809.895
FLEX: 2750 2505 2737 2761 2688 | ACC: -956 2308 6456 | GYRO: -17430 -112 -32768 | GDP=37115.484
FLEX: 2807 2510 2763 2759 2667 | ACC: -18128 -7656 9028 | GYRO: -20231 13891 -32768 | GDP=40938.918
