# sentence_label=How are you?
# timestamp=1764326737.1197052
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2613 2666 2557 2800 2672 | ACC: -800 7164 16684 | GYRO: 1746 5479 -879 | GDP=5817.267
FLEX: 2608 2624 2539 2785 2655 | ACC: 60 10196 15840 | GYRO: 2895 11436 -2480 | GDP=12054.605
FLEX: 2603 2667 2535 2794 2685 | ACC: -5964 8636 21128 | GYRO: 7442 20957 -153 | GDP=22239.664
FLEX: 2544 2678 2473 2800 2640 | ACC: -12872 9540 21968 | GYRO: 18610 5712 4485 | GDP=19976.844
FLEX: 2523 2661 2539 2800 2687 | ACC: -6748 12000 12404 | GYRO: 18390 5863 6434 | GDP=20346.086
FLEX: 2495 2672 2502 2815 2699 | ACC: -5744 10656 11828 | GYRO: 15886 5581 8861 | GDP=19027.082
FLEX: 2471 2711 2519 2826 2711 | ACC: -3168 11420 7564 | GYRO: 16337 3844 10324 | GDP=19704.285
FLEX: 2469 2685 2448 2806 2704 | ACC: -3692 10944 6636 | GYRO: 13055 2421 10839 | GDP=17139.959
FLEX: 2446 2704 2460 2829 2724 | ACC: -3308 11340 5760 | GYRO: 10007 2670 11517 | GDP=15489.036
FLEX: 2415 2703 2432 2861 2634 | ACC: -2536 12004 4048 | GYRO: 9811 971 12360 | GDP=15810.382
FLEX: 2405 2700 2346 2803 2717 | ACC: -2496 11856 4128 | GYRO: 8327 1918 14251 | GDP=16616.518
FLEX: 2403 2689 2305 2818 2709 | ACC: -444 12120 2404 | GYRO: 9161 -121 15437 | GDP=17951.031
FLEX: 2416 2691 2305 2765 2741 | ACC: 1460 11792 2772 | GYRO: 5640 3502 16714 | GDP=17984.199
FLEX: 2375 2695 2291 2768 2675 | ACC: 3040 12908 1988 | GYRO: 5052 5403 17317 | GDP=18830.656
FLEX: 2373 2711 2256 2781 2707 | ACC: 2724 9576 5128 | GYRO: 412 7288 17510 | GDP=18970.631
FLEX: 2368 2736 2291 2778 2681 | ACC: 5512 12384 1760 | GYRO: 4884 7489 23129 | GDP=24796.959
FLEX: 2383 2687 2331 2782 2673 | ACC: 21800 7832 820 | GYRO: 3565 5229 15559 | GDP=16796.850
FLEX: 2401 2681 2301 2802 2723 | ACC: 29608 10084 -2832 | GYRO: 439 11127 4023 | GDP=11840.075
FLEX: 2384 2656 2288 2799 2696 | ACC: 10804 10036 10584 | GYRO: -4953 8144 -4757 | GDP=10652.980
FLEX: 2355 2694 2298 2773 2683 | ACC: 5324 13844 8344 | GYRO: 391 -300 423 | GDP=649.469
FLEX: 2298 2717 2273 2793 2709 | ACC: 15628 10408 1128 | GYRO: 904 -1320 -350 | GDP=1637.717
FLEX: 2336 2671 2272 2786 2671 | ACC: 8136 11004 4464 | GYRO: -175 2303 -119 | GDP=2312.703
FLEX: 2318 2707 2285 2831 2690 | ACC: 11392 11948 4112 | GYRO: -360 1215 -799 | GDP=1498.074
FLEX: 2323 2642 2262 2774 2663 | ACC: 11056 11520 6468 | GYRO: 543 1414 -732 | GDP=1682.281
FLEX: 2352 2699 2267 2783 2710 | ACC: 12912 12548 7992 | GYRO: 1865 -1450 -605 | GDP=2438.596
FLEX: 2319 2660 2271 2774 2683 | ACC: 17944 14176 8552 | GYRO: 6271 481 -4248 | GDP=7589.618
FLEX: 2357 2694 2290 2775 2677 | ACC: 11744 12676 9772 | GYRO: 11018 92 -5744 | GDP=12425.712
FLEX: 2333 2659 2286 2813 2669 | ACC: 9720 12904 2900 | GYRO: 15628 5712 -8960 | GDP=18898.225
FLEX: 2358 2704 2286 2799 2688 | ACC: 7904 12016 -1344 | GYRO: 15296 6712 -8998 | GDP=18973.207
FLEX: 2374 2670 2278 2770 2672 | ACC: 9168 11748 -4592 | GYRO: 12580 4614 -13085 | GDP=18728.658
FLEX: 2354 2688 2306 2736 2655 | ACC: 9560 11064 -5536 | GYRO: 7735 8586 -16424 | GDP=20082.266
FLEX: 2375 2683 2261 2800 2631 | ACC: 8620 11196 -7644 | GYRO: -425 4953 -17633 | GDP=18320.357
FLEX: 2372 2691 2302 2775 2685 | ACC: 5276 11128 -3008 | GYRO: -3278 1429 -24958 | GDP=25212.875
FLEX: 2339 2676 2304 2816 2622 | ACC: 4648 8340 -276 | GYRO: -8877 -712 -24892 | GDP=26437.090
FLEX: 2378 2662 2293 2739 2687 | ACC: 1412 9444 -128 | GYRO: -12331 -3059 -32768 | GDP=35144.742
FLEX: 2362 2683 2277 2783 2641 | ACC: -228 2132 7124 | GYRO: -13207 -2655 -32768 | GDP=35429.023
FLEX: 2351 2684 2300 2791 2642 | ACC: -8228 11704 -512 | GYRO: -22208 -16663 -32768 | GDP=42948.723
FLEX: 2343 2686 2273 2759 2652 | ACC: -26892 -13132 25156 | GYRO: -18394 11611 -32768 | GDP=39330.605
FLEX: 2358 2713 2288 2778 2627 | ACC: -28692 -2784 15824 | GYRO: 1159 -11658 -8437 | GDP=14437.285
FLEX: 2334 2672 2311 2763 2659 | ACC: -23112 2056 12108 | GYRO: 1479 3072 -2248 | GDP=4083.886
FLEX: 2358 2672 2320 2771 2608 | ACC: -16460 4312 9080 | GYRO: 2024 641 4467 | GDP=4945.861
FLEX: 2347 2660 2285 2768 2641 | ACC: -12872 5084 8500 | GYRO: 3046 -416 1942 | GDP=3636.281
FLEX: 2371 2719 2304 2783 2637 | ACC: -13092 3716 9136 | GYRO: 690 2067 2435 | GDP=3267.692
FLEX: 2387 2672 2316 2800 2626 | ACC: -14996 3236 10476 | GYRO: 3447 396 2939 | GDP=4547.125
FLEX: 2416 2718 2438 2784 2665 | ACC: -18500 6048 5300 | GYRO: 3387 12546 14347 | GDP=19357.436
FLEX: 2446 2672 2523 2815 2671 | ACC: -22276 5108 11320 | GYRO: 5259 3979 15298 | GDP=16658.881
FLEX: 2464 2677 2534 2786 2642 | ACC: -17996 6936 8372 | GYRO: 4747 2391 31631 | GDP=32074.461
