# sentence_label=What time is it?
# timestamp=1764327941.4318824
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2544 2639 2694 2777 2714 | ACC: -2444 10124 7584 | GYRO: -411 -6726 17422 | GDP=18679.777
FLEX: 2608 2643 2673 2817 2734 | ACC: 320 9036 7740 | GYRO: -2509 -12323 15877 | GDP=20254.148
FLEX: 2668 2643 2736 2816 2741 | ACC: 3016 8664 8112 | GYRO: -5178 -13533 13430 | GDP=19756.484
FLEX: 2746 2631 2768 2826 2735 | ACC: 5764 7892 8124 | GYRO: -6140 -11282 12971 | GDP=18254.588
FLEX: 2779 2626 2723 2821 2742 | ACC: 6868 7236 8868 | GYRO: -7342 -7487 11800 | GDP=15786.074
FLEX: 2800 2593 2782 2817 2749 | ACC: 7132 7324 9180 | GYRO: -7626 -2854 9144 | GDP=12243.934
FLEX: 2839 2599 2798 2803 2731 | ACC: 8420 4784 11968 | GYRO: -7987 -3950 7708 | GDP=11781.678
FLEX: 2803 2559 2768 2809 2705 | ACC: 8776 5828 11688 | GYRO: -5137 -2539 4770 | GDP=7455.749
FLEX: 2823 2559 2758 2817 2736 | ACC: 9872 3544 14720 | GYRO: -10953 -6367 5566 | GDP=13837.892
FLEX: 2789 2594 2736 2786 2743 | ACC: 10324 4268 21708 | GYRO: 3222 12677 -2765 | GDP=13369.101
FLEX: 2799 2596 2763 2768 2733 | ACC: 10504 1744 16508 | GYRO: 4636 -6174 -1175 | GDP=7809.699
FLEX: 2793 2559 2733 2787 2691 | ACC: 7364 7016 10652 | GYRO: 8554 6830 -3615 | GDP=11527.707
FLEX: 2793 2546 2768 2762 2715 | ACC: 4676 7968 8368 | GYRO: 1698 -32 -306 | GDP=1725.649
FLEX: 2798 2559 2735 2815 2697 | ACC: 5860 7308 8564 | GYRO: -8894 -1295 3846 | GDP=9776.093
FLEX: 2769 2610 2707 2804 2726 | ACC: 16208 -4740 24916 | GYRO: -9077 -10438 3876 | GDP=14365.484
FLEX: 2771 2559 2729 2821 2719 | ACC: 5952 4196 16752 | GYRO: 2855 -5411 -53 | GDP=6118.231
FLEX: 2773 2586 2745 2793 2670 | ACC: 10340 4332 12496 | GYRO: 7975 1898 -3837 | GDP=9051.276
FLEX: 2786 2553 2720 2768 2687 | ACC: 4976 6824 11212 | GYRO: 3189 2897 -1000 | GDP=4422.932
