# sentence_label=What time is it?
# timestamp=1764328038.6287913
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2667 2544 2411 2689 2559 | ACC: -6416 5992 13988 | GYRO: 650 -61 19 | GDP=653.132
FLEX: 2635 2480 2419 2683 2512 | ACC: -6512 6216 13996 | GYRO: 684 -338 146 | GDP=776.799
FLEX: 2677 2555 2448 2650 2533 | ACC: -6200 5976 13928 | GYRO: 578 209 -80 | GDP=619.810
FLEX: 2665 2547 2428 2653 2522 | ACC: -6532 5984 13820 | GYRO: 634 -99 -64 | GDP=644.867
FLEX: 2650 2531 2410 2692 2499 | ACC: -6340 6076 13888 | GYRO: 668 -97 35 | GDP=675.913
FLEX: 2672 2529 2417 2663 2506 | ACC: -6300 5904 13936 | GYRO: 628 118 -124 | GDP=650.910
FLEX: 2704 2490 2428 2656 2531 | ACC: -5796 6060 14032 | GYRO: 777 1093 -493 | GDP=1428.785
FLEX: 2663 2525 2416 2667 2525 | ACC: -4856 5580 14272 | GYRO: 1231 4792 -1476 | GDP=5163.061
FLEX: 2642 2445 2439 2684 2471 | ACC: -6400 4644 16804 | GYRO: 6596 10473 -4476 | GDP=13161.517
FLEX: 2660 2530 2518 2701 2555 | ACC: -8116 4836 10268 | GYRO: 13052 23381 -6459 | GDP=27545.318
FLEX: 2672 2559 2629 2723 2599 | ACC: -22652 8160 14476 | GYRO: 11843 25402 -3 | GDP=28027.100
FLEX: 2640 2559 2649 2720 2634 | ACC: -18164 8644 9108 | GYRO: 8719 -13802 11306 | GDP=19858.041
FLEX: 2627 2551 2695 2773 2694 | ACC: -12528 10944 9020 | GYRO: 5208 -812 13271 | GDP=14279.428
FLEX: 2587 2559 2678 2768 2704 | ACC: -10680 11132 7848 | GYRO: 2488 -4728 13799 | GDP=14797.180
FLEX: 2602 2559 2688 2806 2689 | ACC: -8932 11112 3876 | GYRO: -2559 1808 14098 | GDP=14441.985
FLEX: 2607 2559 2715 2799 2683 | ACC: -9752 10820 4504 | GYRO: -7856 -3252 14678 | GDP=16962.781
FLEX: 2710 2559 2721 2788 2674 | ACC: -7668 9300 4012 | GYRO: -12986 -5144 16055 | GDP=21280.506
FLEX: 2747 2559 2737 2772 2701 | ACC: -5228 7376 7676 | GYRO: -13599 -7232 17579 | GDP=23372.117
FLEX: 2697 2477 2745 2775 2695 | ACC: -1272 6396 8868 | GYRO: -13104 -9169 16659 | GDP=23093.455
FLEX: 2794 2534 2723 2751 2707 | ACC: 1452 5544 11388 | GYRO: -11429 -7405 15397 | GDP=20555.381
FLEX: 2832 2547 2729 2768 2691 | ACC: 4600 4920 12784 | GYRO: -9900 -6555 12847 | GDP=17493.525
FLEX: 2812 2535 2660 2763 2694 | ACC: 5596 4428 13984 | GYRO: -7474 -4901 10042 | GDP=13443.297
FLEX: 2770 2531 2695 2768 2689 | ACC: 7500 4092 14676 | GYRO: -4965 -5914 6985 | GDP=10412.341
FLEX: 2791 2535 2674 2747 2672 | ACC: 7164 4232 14728 | GYRO: -4052 -1089 5214 | GDP=6692.564
FLEX: 2800 2526 2689 2752 2689 | ACC: 6140 3572 15200 | GYRO: -3631 -986 4520 | GDP=5881.051
FLEX: 2790 2512 2679 2728 2672 | ACC: 4744 3964 14024 | GYRO: -4536 -552 3580 | GDP=5804.860
FLEX: 2789 2519 2695 2754 2685 | ACC: 4308 2632 15948 | GYRO: -10288 -9899 3286 | GDP=14650.288
FLEX: 2771 2549 2640 2763 2671 | ACC: 9664 1428 19868 | GYRO: 4468 9270 -928 | GDP=10332.333
FLEX: 2806 2526 2685 2745 2672 | ACC: 8420 920 17700 | GYRO: 6469 -3155 -767 | GDP=7238.112
FLEX: 2791 2529 2657 2767 2691 | ACC: 5492 5180 12908 | GYRO: 11561 7337 -3045 | GDP=14027.128
FLEX: 2790 2528 2672 2733 2675 | ACC: 1672 7160 10108 | GYRO: 987 -1975 338 | GDP=2233.615
FLEX: 2764 2510 2621 2734 2651 | ACC: 4356 5812 10228 | GYRO: -12526 -6041 2887 | GDP=14203.138
FLEX: 2756 2559 2656 2739 2668 | ACC: 17092 -1400 21080 | GYRO: 3551 5363 430 | GDP=6446.415
FLEX: 2773 2538 2612 2736 2627 | ACC: 8076 896 18012 | GYRO: 4222 -5577 -378 | GDP=7005.077
FLEX: 2747 2539 2636 2720 2663 | ACC: 7728 3952 13404 | GYRO: 13432 5864 -4642 | GDP=15373.785
FLEX: 2767 2521 2608 2725 2635 | ACC: 1756 6784 11252 | GYRO: 5320 5066 -1258 | GDP=7453.142
FLEX: 2762 2514 2587 2726 2672 | ACC: 936 8112 8356 | GYRO: -11340 -6065 2177 | GDP=13042.974
FLEX: 2739 2549 2559 2691 2622 | ACC: 12420 -7872 31688 | GYRO: -14651 -12772 6664 | GDP=20547.133
FLEX: 2759 2549 2553 2756 2617 | ACC: 4392 1948 20080 | GYRO: 5260 -8338 -524 | GDP=9872.407
FLEX: 2736 2529 2544 2718 2613 | ACC: 10408 2356 13836 | GYRO: 15107 4454 -6483 | GDP=17031.996
FLEX: 2749 2555 2542 2721 2629 | ACC: 1460 8488 8616 | GYRO: 7121 11284 -3006 | GDP=13677.476
FLEX: 2742 2539 2551 2722 2559 | ACC: 684 8424 7372 | GYRO: -10213 -1772 1913 | GDP=10540.632
FLEX: 2737 2549 2529 2741 2640 | ACC: 3980 952 14208 | GYRO: -16897 -8410 8063 | GDP=20524.344
FLEX: 2732 2592 2519 2690 2597 | ACC: 1188 3172 23028 | GYRO: 5741 5417 -2117 | GDP=8172.188
FLEX: 2749 2559 2527 2745 2601 | ACC: 14716 -292 17024 | GYRO: 9901 1109 -4700 | GDP=11015.883
FLEX: 2717 2539 2512 2709 2593 | ACC: 9228 2996 15840 | GYRO: 19072 21409 -8961 | GDP=30039.740
FLEX: 2689 2530 2544 2721 2559 | ACC: 6716 2048 14640 | GYRO: 23933 27873 -10439 | GDP=38192.477
FLEX: 2658 2526 2485 2670 2559 | ACC: 3452 5012 7332 | GYRO: 32767 32767 -11527 | GDP=47751.695
FLEX: 2639 2480 2423 2675 2531 | ACC: -6812 7644 136 | GYRO: 32767 32767 -7958 | GDP=47017.895
FLEX: 2602 2496 2367 2615 2483 | ACC: -7776 11164 -7376 | GYRO: 32767 32767 -735 | GDP=46345.363
FLEX: 2615 2493 2290 2608 2480 | ACC: -4384 13420 -16524 | GYRO: 32767 32767 5731 | GDP=46692.578
FLEX: 2559 2507 2279 2558 2432 | ACC: 2928 8960 -18680 | GYRO: 19809 21621 3724 | GDP=29558.963
FLEX: 2596 2495 2274 2559 2431 | ACC: 8460 9012 -23096 | GYRO: 10394 -1139 -9113 | GDP=13870.088
FLEX: 2597 2479 2254 2555 2406 | ACC: 1168 5736 -17752 | GYRO: -4867 -6434 -20996 | GDP=22492.578
FLEX: 2594 2512 2269 2544 2419 | ACC: -8884 4156 -12184 | GYRO: -19243 -14113 -27047 | GDP=36069.516
FLEX: 2559 2480 2249 2525 2379 | ACC: -27900 9228 272 | GYRO: -14759 -5541 -16625 | GDP=22911.164
FLEX: 2554 2479 2242 2486 2413 | ACC: -27668 11992 3152 | GYRO: -875 -426 6845 | GDP=6913.836
FLEX: 2595 2460 2263 2529 2379 | ACC: -17852 8932 -1492 | GYRO: 12150 6861 20094 | GDP=24463.537
FLEX: 2559 2493 2249 2502 2404 | ACC: -9064 7464 -7756 | GYRO: 16102 14510 25329 | GDP=33337.258
FLEX: 2559 2443 2230 2498 2381 | ACC: 4044 3736 -15284 | GYRO: 14754 8417 23325 | GDP=28854.498
FLEX: 2599 2482 2251 2515 2386 | ACC: 15256 3504 -21444 | GYRO: 5944 6228 9852 | GDP=13083.616
FLEX: 2591 2459 2226 2487 2410 | ACC: 15116 3188 -20320 | GYRO: -2751 -5840 -10019 | GDP=11918.640
FLEX: 2611 2480 2203 2501 2386 | ACC: 5768 2704 -15728 | GYRO: -9879 -6514 -24310 | GDP=27037.066
FLEX: 2559 2486 2244 2471 2383 | ACC: -7400 4276 -10376 | GYRO: -14509 -13452 -31681 | GDP=37351.750
FLEX: 2607 2500 2240 2495 2398 | ACC: -21188 7076 -3264 | GYRO: -14031 -5261 -24518 | GDP=28734.639
FLEX: 2615 2510 2256 2495 2380 | ACC: -25340 11416 -660 | GYRO: -7205 -5916 -9313 | GDP=13177.369
FLEX: 2615 2512 2268 2496 2419 | ACC: -26508 11828 -500 | GYRO: -140 -27 4664 | GDP=4666.179
FLEX: 2559 2480 2242 2509 2384 | ACC: -18476 8612 -3308 | GYRO: 11046 3145 16912 | GDP=20443.113
FLEX: 2608 2522 2253 2534 2397 | ACC: -11576 7208 -8332 | GYRO: 13412 13828 22927 | GDP=29945.662
FLEX: 2599 2510 2249 2539 2399 | ACC: -1396 5240 -12540 | GYRO: 12042 3625 23116 | GDP=26315.393
FLEX: 2594 2513 2278 2496 2395 | ACC: 5816 6308 -16716 | GYRO: 8348 9590 13991 | GDP=18905.166
FLEX: 2590 2476 2262 2509 2391 | ACC: 7476 6632 -16400 | GYRO: 2837 -1343 4104 | GDP=5166.724
FLEX: 2607 2496 2257 2506 2363 | ACC: 6668 6260 -15880 | GYRO: -1586 -1617 -6854 | GDP=7218.545
FLEX: 2615 2493 2256 2509 2394 | ACC: 1892 6428 -13828 | GYRO: -5183 -6140 -14629 | GDP=16690.437
FLEX: 2599 2490 2251 2509 2401 | ACC: -4724 7760 -10868 | GYRO: -6939 -5227 -17622 | GDP=19647.039
FLEX: 2612 2492 2230 2497 2422 | ACC: -11860 9348 -8328 | GYRO: -5881 -3067 -16323 | GDP=17619.109
FLEX: 2587 2501 2253 2512 2386 | ACC: -15544 10488 -8036 | GYRO: -2668 -1208 -11042 | GDP=11423.802
