# sentence_label=Are you hearing?
# timestamp=1764406928.4074078
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2703 2487 2498 2736 2629 | ACC: -17568 -4088 23332 | GYRO: 14900 -13376 25264 | GDP=32236.580
FLEX: 2709 2498 2518 2738 2608 | ACC: -11292 -696 17056 | GYRO: 23901 -26319 31621 | GDP=47579.777
FLEX: 2701 2459 2528 2736 2611 | ACC: 1416 4244 10300 | GYRO: 26034 -24046 29215 | GDP=45929.246
FLEX: 2706 2480 2522 2739 2652 | ACC: 4248 6928 9784 | GYRO: 28763 -18105 25457 | GDP=42463.633
FLEX: 2687 2471 2541 2761 2601 | ACC: 12720 9504 3648 | GYRO: 24433 -13260 17944 | GDP=33087.555
FLEX: 2715 2442 2527 2781 2666 | ACC: 17088 10420 -1340 | GYRO: 24373 -6481 8138 | GDP=26500.443
FLEX: 2715 2438 2544 2736 2628 | ACC: 13944 10388 548 | GYRO: 17949 3318 231 | GDP=18254.564
FLEX: 2725 2479 2559 2761 2653 | ACC: 16024 11524 -2912 | GYRO: 15988 -4977 -9747 | GDP=19375.002
FLEX: 2711 2501 2622 2739 2678 | ACC: 10972 11592 -440 | GYRO: 10323 -6180 -20906 | GDP=24120.895
FLEX: 2704 2462 2622 2752 2667 | ACC: 9616 13628 -2588 | GYRO: 953 -5282 -28115 | GDP=28622.734
FLEX: 2726 2493 2653 2760 2633 | ACC: 736 10040 5592 | GYRO: -2961 -10425 -32555 | GDP=34311.457
FLEX: 2768 2483 2630 2770 2645 | ACC: 1324 11516 2744 | GYRO: -8845 -11381 -32768 | GDP=35798.086
FLEX: 2746 2478 2643 2784 2634 | ACC: -100 -2628 8564 | GYRO: -18225 -12746 -32768 | GDP=39602.438
FLEX: 2814 2512 2608 2762 2645 | ACC: -21220 -10984 4036 | GYRO: -32768 14919 -32768 | GDP=48683.266
FLEX: 2800 2482 2597 2759 2642 | ACC: -32768 -20048 20056 | GYRO: -1818 3926 -9086 | GDP=10063.498
FLEX: 2797 2482 2614 2842 2624 | ACC: -16216 -1520 4660 | GYRO: 16241 -20072 4893 | GDP=26279.207
FLEX: 2787 2468 2655 2736 2643 | ACC: -10996 1212 4820 | GYRO: 804 6292 -1430 | GDP=6502.352
FLEX: 2838 2474 2596 2771 2611 | ACC: -16220 1048 8764 | GYRO: 1945 -311 -488 | GDP=2029.259
FLEX: 2800 2475 2544 2745 2559 | ACC: -13708 2192 6352 | GYRO: 2942 -1640 -182 | GDP=3373.142
FLEX: 2827 2485 2639 2738 2657 | ACC: -15512 1964 7528 | GYRO: -355 -438 948 | GDP=1102.984
FLEX: 2817 2462 2643 2781 2683 | ACC: -14336 1928 8528 | GYRO: 1545 -610 544 | GDP=1747.873
FLEX: 2766 2444 2627 2801 2559 | ACC: -14128 2132 7108 | GYRO: 800 527 604 | GDP=1132.495
FLEX: 2835 2431 2517 2815 2666 | ACC: -14568 1968 7284 | GYRO: 340 204 179 | GDP=435.037
FLEX: 2831 2514 2468 2714 2675 | ACC: -13936 2352 7800 | GYRO: 212 -198 453 | GDP=537.919
FLEX: 2771 2503 2586 2722 2719 | ACC: -14376 2468 8132 | GYRO: 562 49 3 | GDP=564.140
FLEX: 2677 2352 2655 2715 2660 | ACC: -13612 2168 7336 | GYRO: 856 -178 -27 | GDP=874.728
FLEX: 2783 2497 2619 2774 2559 | ACC: -14384 1868 7644 | GYRO: 347 319 -349 | GDP=586.490
FLEX: 2823 2496 2605 2757 2674 | ACC: -14180 1836 7480 | GYRO: 773 -447 57 | GDP=894.755
