# sentence_label=Are you hearing?
# timestamp=1764406882.7411304
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2681 2650 2640 2742 2607 | ACC: -5100 10772 17832 | GYRO: 19638 4565 9014 | GDP=22084.893
FLEX: 2605 2703 2606 2773 2614 | ACC: 4100 13356 844 | GYRO: 15518 5098 10742 | GDP=19549.641
FLEX: 2609 2706 2559 2757 2638 | ACC: 6376 13104 -1332 | GYRO: 15040 4056 9437 | GDP=18212.898
FLEX: 2604 2710 2612 2755 2618 | ACC: 7596 13008 -2480 | GYRO: 12882 1747 5477 | GDP=14106.575
FLEX: 2593 2694 2658 2787 2614 | ACC: 7204 15684 -4520 | GYRO: 10438 5363 1457 | GDP=11825.247
FLEX: 2583 2718 2674 2768 2624 | ACC: 6516 13620 -3016 | GYRO: 3738 1763 -639 | GDP=4182.001
FLEX: 2589 2704 2698 2766 2607 | ACC: 4580 15104 -3068 | GYRO: 4409 4261 -3211 | GDP=6921.410
FLEX: 2557 2733 2715 2747 2634 | ACC: 4764 14540 -2396 | GYRO: 1056 995 -4822 | GDP=5035.558
FLEX: 2614 2721 2640 2823 2684 | ACC: 3368 14276 -1964 | GYRO: 2581 -309 -7145 | GDP=7603.162
FLEX: 2559 2710 2730 2811 2699 | ACC: 5412 15140 -4124 | GYRO: -1414 -5985 -6571 | GDP=8999.870
FLEX: 2651 2683 2724 2859 2685 | ACC: 3072 12884 -2684 | GYRO: -2751 5815 -13336 | GDP=14806.455
FLEX: 2721 2683 2798 2751 2654 | ACC: -248 16972 -2652 | GYRO: -3201 -7639 -12099 | GDP=14662.419
FLEX: 2727 2608 2715 2762 2668 | ACC: 6324 12020 -3860 | GYRO: -14131 -6260 -19023 | GDP=24510.146
FLEX: 2755 2559 2731 2774 2667 | ACC: 284 13320 -700 | GYRO: -20477 -9123 -31978 | GDP=39052.902
FLEX: 2768 2498 2733 2755 2685 | ACC: -2604 1900 5936 | GYRO: -30632 -899 -32768 | GDP=44865.012
FLEX: 2768 2480 2779 2748 2641 | ACC: -17132 1968 7960 | GYRO: -31834 136 -32768 | GDP=45685.488
FLEX: 2775 2495 2752 2803 2604 | ACC: -29396 -10472 19972 | GYRO: -9803 873 -13446 | GDP=16663.008
FLEX: 2797 2499 2778 2763 2657 | ACC: -18104 -1096 9240 | GYRO: 5512 -12054 -772 | GDP=13276.937
FLEX: 2797 2496 2770 2763 2655 | ACC: -16056 1920 9336 | GYRO: 1025 -1059 2296 | GDP=2728.319
FLEX: 2790 2466 2770 2748 2661 | ACC: -13040 3096 9652 | GYRO: 2328 -2369 3033 | GDP=4497.870
FLEX: 2786 2494 2762 2818 2640 | ACC: -11624 4708 8604 | GYRO: 3168 530 2917 | GDP=4338.895
FLEX: 2775 2467 2746 2751 2624 | ACC: -12676 4104 8980 | GYRO: 1024 -94 3044 | GDP=3212.997
FLEX: 2771 2493 2779 2775 2655 | ACC: -13560 3716 10084 | GYRO: 2055 843 6456 | GDP=6827.416
FLEX: 2743 2487 2746 2742 2640 | ACC: -12328 3636 9508 | GYRO: 1128 -1492 5731 | GDP=6028.500
FLEX: 2768 2497 2739 2762 2645 | ACC: -11912 3932 8972 | GYRO: 304 -2643 8189 | GDP=8610.318
FLEX: 2720 2481 2702 2742 2604 | ACC: -11076 3392 6976 | GYRO: -5200 -4328 11687 | GDP=13503.982
FLEX: 2687 2496 2667 2757 2608 | ACC: -11192 2644 6872 | GYRO: -12419 2297 12652 | GDP=17876.824
FLEX: 2647 2489 2665 2722 2581 | ACC: -12584 2744 6432 | GYRO: -26637 -4412 10358 | GDP=28918.570
FLEX: 2635 2526 2659 2701 2623 | ACC: -17324 72 11936 | GYRO: -29235 -1978 18766 | GDP=34795.984
FLEX: 2599 2519 2627 2768 2602 | ACC: -23400 1900 14904 | GYRO: -23947 -5630 32767 | GDP=40973.551
FLEX: 2629 2540 2642 2752 2662 | ACC: -12452 -104 21016 | GYRO: -15235 -4870 32767 | GDP=36462.285
FLEX: 2615 2496 2635 2710 2613 | ACC: 12228 -2148 29956 | GYRO: 12353 17421 32767 | GDP=39112.199
FLEX: 2631 2519 2635 2721 2626 | ACC: 14496 -1660 28076 | GYRO: 32767 12667 15840 | GDP=38536.148
FLEX: 2606 2469 2608 2759 2607 | ACC: 18860 3688 6436 | GYRO: 32767 3025 -15148 | GDP=36225.527
FLEX: 2634 2498 2639 2751 2638 | ACC: 1412 4624 -4120 | GYRO: 20185 -2086 -32768 | GDP=38542.539
FLEX: 2645 2483 2643 2806 2645 | ACC: -23080 6096 -9048 | GYRO: -19349 -13328 -32768 | GDP=40320.730
FLEX: 2654 2482 2624 2747 2657 | ACC: -32768 -44 3936 | GYRO: -32768 -10664 -12516 | GDP=36662.145
FLEX: 2631 2498 2624 2749 2643 | ACC: -32768 1544 13248 | GYRO: -23838 -25531 30359 | GDP=46279.055
FLEX: 2619 2489 2629 2763 2591 | ACC: -956 -6484 22992 | GYRO: 410 -3393 32767 | GDP=32944.754
FLEX: 2647 2433 2559 2731 2658 | ACC: 8192 -2380 24380 | GYRO: 30513 17331 22224 | GDP=41536.887
FLEX: 2613 2499 2640 2830 2635 | ACC: 10836 2220 9208 | GYRO: 32767 2312 958 | GDP=32862.434
FLEX: 2659 2537 2608 2734 2615 | ACC: 4096 4324 80 | GYRO: 29753 7395 -29842 | GDP=42784.016
FLEX: 2642 2483 2580 2854 2545 | ACC: -16240 1428 -2808 | GYRO: 16738 -9322 -32768 | GDP=37957.898
FLEX: 2627 2496 2690 2721 2646 | ACC: -29324 4576 -2240 | GYRO: -14554 -32768 -32768 | GDP=48572.652
FLEX: 2559 2480 2615 2703 2583 | ACC: -30916 -348 10176 | GYRO: -1009 -4546 -16 | GDP=4656.657
FLEX: 2647 2544 2624 2722 2614 | ACC: -25460 -2848 14152 | GYRO: 2077 -16108 16327 | GDP=23029.385
FLEX: 2618 2592 2559 2733 2595 | ACC: -21064 3340 12396 | GYRO: 16190 -26867 28647 | GDP=42480.613
FLEX: 2607 2688 2616 2690 2599 | ACC: -9816 3488 12316 | GYRO: 19900 -22616 28928 | GDP=41765.086
FLEX: 2604 2699 2608 2695 2559 | ACC: -124 7988 7388 | GYRO: 23344 -19075 25643 | GDP=39577.281
FLEX: 2624 2707 2626 2752 2559 | ACC: 2756 9800 5772 | GYRO: 23477 -12959 26851 | GDP=37948.406
FLEX: 2626 2716 2593 2700 2608 | ACC: 5040 11116 6416 | GYRO: 19165 -9698 18660 | GDP=28452.486
FLEX: 2620 2707 2615 2752 2640 | ACC: 11468 12688 12 | GYRO: 21527 -11456 16176 | GDP=29262.854
FLEX: 2624 2701 2559 2738 2597 | ACC: 12280 12108 -348 | GYRO: 14355 -3325 8725 | GDP=17124.465
FLEX: 2685 2709 2599 2704 2628 | ACC: 14064 13416 -3532 | GYRO: 12571 -3458 972 | GDP=13074.119
FLEX: 2647 2703 2619 2733 2626 | ACC: 12292 11684 -2700 | GYRO: 9059 -1404 -4304 | GDP=10127.246
FLEX: 2673 2699 2622 2745 2624 | ACC: 12176 12548 -4324 | GYRO: 7161 -6339 -11558 | GDP=15001.674
FLEX: 2624 2719 2631 2754 2607 | ACC: 10172 12800 -4144 | GYRO: 4073 -3081 -17415 | GDP=18148.393
FLEX: 2668 2730 2629 2707 2637 | ACC: 8592 13760 -5612 | GYRO: -2743 -5102 -26077 | GDP=26712.625
FLEX: 2638 2644 2602 2735 2613 | ACC: 2140 14664 -3824 | GYRO: -21192 -4730 -32768 | GDP=39309.230
FLEX: 2656 2559 2655 2756 2663 | ACC: -1380 4980 3836 | GYRO: -32671 -4044 -32768 | GDP=46448.789
