# sentence_label=How can I help you?
# timestamp=1764327410.764382
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2609 2672 2507 2751 2591 | ACC: -2516 6576 14712 | GYRO: 289 1266 -292 | GDP=1330.992
FLEX: 2626 2683 2506 2752 2646 | ACC: -1420 6596 15812 | GYRO: 1216 4513 -470 | GDP=4697.523
FLEX: 2625 2713 2527 2742 2687 | ACC: -3360 6504 14980 | GYRO: 4736 23617 -5613 | GDP=24732.533
FLEX: 2607 2719 2555 2772 2660 | ACC: -15844 8096 21744 | GYRO: 7132 22004 34 | GDP=23130.986
FLEX: 2607 2756 2497 2753 2672 | ACC: -16984 8412 16928 | GYRO: 8516 10367 6646 | GDP=14972.183
FLEX: 2559 2753 2532 2766 2695 | ACC: -15728 9604 9496 | GYRO: 8459 22391 13702 | GDP=27580.000
FLEX: 2538 2795 2539 2800 2720 | ACC: -14780 11024 5528 | GYRO: 2174 22641 15390 | GDP=27462.580
FLEX: 2496 2774 2501 2807 2767 | ACC: -14832 9036 5264 | GYRO: -6051 19689 17945 | GDP=27318.389
FLEX: 2467 2800 2478 2851 2714 | ACC: -8648 8572 2600 | GYRO: -9983 4281 18287 | GDP=21269.734
FLEX: 2451 2753 2466 2822 2726 | ACC: -6156 8760 3764 | GYRO: -11695 2747 17057 | GDP=20862.893
FLEX: 2442 2743 2480 2829 2736 | ACC: -3512 7976 5128 | GYRO: -15119 -1461 15047 | GDP=21380.619
FLEX: 2447 2747 2437 2817 2723 | ACC: -2332 8216 6096 | GYRO: -15725 -3440 12918 | GDP=20639.379
FLEX: 2436 2757 2449 2816 2743 | ACC: -584 7360 8820 | GYRO: -17314 -3953 11765 | GDP=21302.959
FLEX: 2415 2730 2427 2875 2705 | ACC: -1416 6648 11836 | GYRO: -16205 -3191 8880 | GDP=18752.037
FLEX: 2432 2762 2455 2854 2625 | ACC: -312 4832 14684 | GYRO: -12683 502 6950 | GDP=14471.108
FLEX: 2437 2737 2452 2773 2715 | ACC: 1232 5216 14020 | GYRO: -11599 -5963 5359 | GDP=14100.108
FLEX: 2465 2784 2431 2841 2750 | ACC: 3824 3684 14976 | GYRO: -9478 1322 2182 | GDP=9815.360
FLEX: 2417 2727 2433 2819 2703 | ACC: 396 3176 17276 | GYRO: -7639 3649 -663 | GDP=8491.707
FLEX: 2434 2741 2416 2835 2927 | ACC: -16512 -4888 32767 | GYRO: 4931 3444 1854 | GDP=6293.903
FLEX: 2422 2730 2439 2799 2730 | ACC: -1304 3280 15876 | GYRO: -1587 -2716 -634 | GDP=3208.922
FLEX: 2427 2751 2419 2801 2714 | ACC: -7616 8120 19668 | GYRO: 3236 3657 1037 | GDP=4992.065
FLEX: 2416 2746 2426 2766 2698 | ACC: -1776 5524 17724 | GYRO: 1648 -2281 1861 | GDP=3373.750
FLEX: 2432 2768 2417 2788 2757 | ACC: -292 4516 17976 | GYRO: 3062 -879 1578 | GDP=3555.076
FLEX: 2420 2757 2495 2811 2719 | ACC: 356 5204 16544 | GYRO: 4224 -1502 81 | GDP=4483.831
